Freq.            	V(out)                    FASE
1.00000000000000e+01	(-7.55134484075071e-02dB,-1.92065681639043e+00°)
1.25892541179417e+01	(-7.83658446098314e-02dB,-2.41743426537504e+00°)
1.58489319246111e+01	(-8.28827539362548e-02dB,-3.04231419499455e+00°)
1.99526231496888e+01	(-9.00319636552950e-02dB,-3.82794457548739e+00°)
2.51188643150958e+01	(-1.01338645423137e-01dB,-4.81491319370787e+00°)
3.16227766016838e+01	(-1.19198448305771e-01dB,-6.05330296586081e+00°)
3.98107170553497e+01	(-1.47354736525351e-01dB,-7.60417430626936e+00°)
5.01187233627272e+01	(-1.91608862027325e-01dB,-9.54052890494641e+00°)
6.30957344480193e+01	(-2.60836095501189e-01dB,-1.19468624702637e+01°)
7.94328234724282e+01	(-3.68342369547447e-01dB,-1.49156958829716e+01°)
1.00000000000000e+02	(-5.33457798609067e-01dB,-1.85385414288734e+01°)
1.25892541179417e+02	(-7.82931431416359e-01dB,-2.28881297817450e+01°)
1.58489319246111e+02	(-1.15112072938122e+00dB,-2.79899110350837e+01°)
1.99526231496888e+02	(-1.67739523657552e+00dB,-3.37864089215920e+01°)
2.51188643150958e+02	(-2.39943673035979e+00dB,-4.01089338079776e+01°)
3.16227766016838e+02	(-3.34330687247214e+00dB,-4.66804535171453e+01°)
3.98107170553497e+02	(-4.51466486395906e+00dB,-5.31649961230784e+01°)
5.01187233627273e+02	(-5.89666059934561e+00dB,-5.92477499180599e+01°)
6.30957344480194e+02	(-7.45599938542702e+00dB,-6.47037446935469e+01°)
7.94328234724282e+02	(-9.15304023512443e+00dB,-6.94231754992644e+01°)
1.00000000000000e+03	(-1.09504061987838e+01dB,-7.33953289585282e+01°)
1.25892541179417e+03	(-1.28175103738414e+01dB,-7.66739528994412e+01°)
1.58489319246111e+03	(-1.47315168682858e+01dB,-7.93442295781369e+01°)
1.99526231496888e+03	(-1.66763692339389e+01dB,-8.14997817773695e+01°)
2.51188643150958e+03	(-1.86412096294454e+01dB,-8.32297472791572e+01°)
3.16227766016838e+03	(-2.06188780599311e+01dB,-8.46129575279914e+01°)
3.98107170553498e+03	(-2.26047284785519e+01dB,-8.57162658896083e+01°)
5.01187233627273e+03	(-2.45957769177971e+01dB,-8.65949689741915e+01°)
6.30957344480194e+03	(-2.65901193565283e+01dB,-8.72941125317962e+01°)
7.94328234724283e+03	(-2.85865458808039e+01dB,-8.78500474449044e+01°)
1.00000000000000e+04	(-3.05842896562119e+01dB,-8.82919361742806e+01°)
1.25892541179417e+04	(-3.25828654713935e+01dB,-8.86430883459750e+01°)
1.58489319246112e+04	(-3.45819666311589e+01dB,-8.89220923959422e+01°)
1.99526231496888e+04	(-3.65813994055786e+01dB,-8.91437502772144e+01°)
2.51188643150958e+04	(-3.85810414723100e+01dB,-8.93198379833408e+01°)
3.16227766016839e+04	(-4.05808156165059e+01dB,-8.94597187401029e+01°)
3.98107170553498e+04	(-4.25806731050837e+01dB,-8.95708346462741e+01°)
5.01187233627273e+04	(-4.45805831840489e+01dB,-8.96590994893727e+01°)
6.30957344480195e+04	(-4.65805264467536e+01dB,-8.97292119199609e+01°)
7.94328234724283e+04	(-4.85804906475591e+01dB,-8.97849047913826e+01°)
1.00000000000000e+05	(-5.05804680596425e+01dB,-8.98291435064295e+01°)
