time	                V(out)         1 scarica Tensione in ingresso 1 volt e periodo impulso 5microsec 
0.000000000000000e+00	0.000000e+00
9.999999960041972e-12	-1.520066e-07
1.999999992008394e-11	-4.025783e-07
3.999999984016789e-11	-1.302893e-06
7.999999968033578e-11	-4.645798e-06
1.599999993606716e-10	-1.672108e-05
3.199999987213431e-10	-5.686856e-05
6.399999974426862e-10	-1.637744e-04
6.793604050882468e-10	-1.793788e-04
7.580812203793680e-10	-2.140409e-04
8.425583694177577e-10	-2.526446e-04
1.000000000000000e-09	-3.266929e-04
1.047232489174673e-09	-3.477519e-04
1.110209141407570e-09	-3.720499e-04
1.236162445873364e-09	-4.100520e-04
1.488069054804951e-09	-4.608659e-04
1.833164530755222e-09	-4.997425e-04
2.213108941761105e-09	-5.187765e-04
2.686045095916503e-09	-5.268654e-04
3.298042402110636e-09	-5.290425e-04
4.214070405434163e-09	-5.279609e-04
5.641386833416135e-09	-5.244338e-04
2.525117678737156e-08	-4.256747e-04
4.766236530617776e-08	-2.107901e-04
9.248474234379017e-08	4.412232e-04
1.392415942365683e-07	1.418309e-03
2.070458276829642e-07	3.331561e-03
2.938711109503090e-07	6.438439e-03
4.166518344694282e-07	1.176240e-02
5.733270230996302e-07	1.962469e-02
7.898203808382372e-07	3.168247e-02
1.078940091634815e-06	4.887044e-02
1.502142899850727e-06	7.490959e-02
2.142920881814136e-06	1.148019e-01
5.000999999999999e-06	2.920966e-01
5.001099999999999e-06	2.921157e-01
5.001299999999999e-06	2.921711e-01
5.001599999999999e-06	2.922906e-01
5.002000000000000e-06	2.924843e-01
5.002040000000000e-06	2.925041e-01
5.002120000000000e-06	2.925396e-01
5.002280000000000e-06	2.925950e-01
5.002600000000000e-06	2.926675e-01
5.003240000000001e-06	2.927482e-01
5.004520000000002e-06	2.928424e-01
5.007080000000004e-06	2.929952e-01
5.012200000000009e-06	2.932918e-01
5.022440000000019e-06	2.938675e-01
5.042920000000038e-06	2.949503e-01
5.083880000000077e-06	2.968719e-01
5.165800000000155e-06	2.999298e-01
5.329640000000310e-06	3.039282e-01
5.657320000000620e-06	3.077275e-01
6.190533693070484e-06	3.093436e-01
6.817942899471984e-06	3.089120e-01
7.797523468475238e-06	3.073650e-01
1.991629181930362e-05	2.884233e-01
3.376631279167892e-05	2.685150e-01
6.146635473642951e-05	2.335213e-01
1.168664386259307e-04	1.766762e-01
1.881983184554561e-04	1.216148e-01
2.593757357701884e-04	8.317312e-02
3.356330293265693e-04	5.523887e-02
4.059980951669060e-04	3.778271e-02
4.795470412360019e-04	2.547274e-02
5.501969274750520e-04	1.742540e-02
6.236345832722872e-04	1.175591e-02
6.948775154407155e-04	8.016038e-03
7.679402395020012e-04	5.417236e-03
8.394157798492939e-04	3.689776e-03
9.122176458708310e-04	2.496864e-03
9.839066380217193e-04	1.698890e-03
1.056538751970850e-03	1.150589e-03
1.128373709469660e-03	7.823075e-04
1.200879831783371e-03	5.301535e-04
1.272817984154244e-03	3.602795e-04
1.345236423527043e-03	2.443421e-04
1.418042249324497e-03	1.660037e-04
1.500651503844016e-03	1.077799e-04
1.711649116059449e-03	3.616363e-05
1.854065130222451e-03	1.441727e-05
1.854068130222451e-03	1.458830e-05
2.671089559937807e-03	2.923541e-07
3.000000000000000e-03	4.211344e-09
