Freq.	                 V(out)                    Fase                     BOOOOOODDDDEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!
1.00000000000000e+01	(1.42845341286384e+01dB,1.15740884215592e+02°)
1.02329299228075e+01	(1.41216989396842e+01dB,1.15226535105785e+02°)
1.04712854805090e+01	(1.39574904249161e+01dB,1.14719608962811e+02°)
1.07151930523761e+01	(1.37919485911708e+01dB,1.14220152207722e+02°)
1.09647819614319e+01	(1.36251130744295e+01dB,1.13728201411480e+02°)
1.12201845430196e+01	(1.34570230800127e+01dB,1.13243783658062e+02°)
1.14815362149688e+01	(1.32877173276919e+01dB,1.12766916918541e+02°)
1.17489755493953e+01	(1.31172340016457e+01dB,1.12297610433548e+02°)
1.20226443461741e+01	(1.29456107051625e+01dB,1.11835865101673e+02°)
1.23026877081238e+01	(1.27728844199673e+01dB,1.11381673871524e+02°)
1.25892541179417e+01	(1.25990914700281e+01dB,1.10935022135332e+02°)
1.28824955169313e+01	(1.24242674896842e+01dB,1.10495888122139e+02°)
1.31825673855641e+01	(1.22484473959191e+01dB,1.10064243288802e+02°)
1.34896288259165e+01	(1.20716653645948e+01dB,1.09640052707183e+02°)
1.38038426460288e+01	(1.18939548104504e+01dB,1.09223275446083e+02°)
1.41253754462275e+01	(1.17153483706661e+01dB,1.08813864946632e+02°)
1.44543977074593e+01	(1.15358778917873e+01dB,1.08411769389987e+02°)
1.47910838816821e+01	(1.13555744198014e+01dB,1.08016932056350e+02°)
1.51356124843621e+01	(1.11744681931617e+01dB,1.07629291674470e+02°)
1.54881661891248e+01	(1.09925886385525e+01dB,1.07248782760894e+02°)
1.58489319246111e+01	(1.08099643691933e+01dB,1.06875335948393e+02°)
1.62181009735893e+01	(1.06266231854849e+01dB,1.06508878303070e+02°)
1.65958690743756e+01	(1.04425920778024e+01dB,1.06149333629794e+02°)
1.69824365246174e+01	(1.02578972312521e+01dB,1.05796622765688e+02°)
1.73780082874937e+01	(1.00725640322085e+01dB,1.05450663861485e+02°)
1.77827941003892e+01	(9.88661707646246e+00dB,1.05111372650662e+02°)
1.81970085860998e+01	(9.70008017881307e+00dB,1.04778662706324e+02°)
1.86208713666287e+01	(9.51297638394922e+00dB,1.04452445685877e+02°)
1.90546071796325e+01	(9.32532797847089e+00dB,1.04132631563601e+02°)
1.94984459975804e+01	(9.13715650391150e+00dB,1.03819128851263e+02°)
1.99526231496888e+01	(8.94848277062962e+00dB,1.03511844806975e+02°)
2.04173794466953e+01	(8.75932687244733e+00dB,1.03210685632527e+02°)
2.08929613085404e+01	(8.56970820192056e+00dB,1.02915556659474e+02°)
2.13796208950223e+01	(8.37964546613485e+00dB,1.02626362524256e+02°)
2.18776162394955e+01	(8.18915670292802e+00dB,1.02343007332691e+02°)
2.23872113856834e+01	(7.99825929744857e+00dB,1.02065394814158e+02°)
2.29086765276777e+01	(7.80696999896625e+00dB,1.01793428465839e+02°)
2.34422881531992e+01	(7.61530493785802e+00dB,1.01527011687368e+02°)
2.39883291901949e+01	(7.42327964269965e+00dB,1.01266047906269e+02°)
2.45470891568503e+01	(7.23090905739915e+00dB,1.01010440694543e+02°)
2.51188643150958e+01	(7.03820755831475e+00dB,1.00760093876787e+02°)
2.57039578276886e+01	(6.84518897130547e+00dB,1.00514911630226e+02°)
2.63026799189538e+01	(6.65186658866785e+00dB,1.00274798577012e+02°)
2.69153480392691e+01	(6.45825318591743e+00dB,1.00039659869170e+02°)
2.75422870333816e+01	(6.26436103837829e+00dB,9.98094012665554e+01°)
2.81838293126445e+01	(6.07020193754812e+00dB,9.95839292081628e+01°)
2.88403150312660e+01	(5.87578720721077e+00dB,9.93631508771453e+01°)
2.95120922666638e+01	(5.68112771927150e+00dB,9.91469742598734e+01°)
3.01995172040201e+01	(5.48623390929405e+00dB,9.89353081993641e+01°)
3.09029543251359e+01	(5.29111579172152e+00dB,9.87280624433935e+01°)
3.16227766016838e+01	(5.09578297476629e+00dB,9.85251476876004e+01°)
3.23593656929628e+01	(4.90024467495652e+00dB,9.83264756138737e+01°)
3.31131121482591e+01	(4.70450973132970e+00dB,9.81319589243078e+01°)
3.38844156139202e+01	(4.50858661926545e+00dB,9.79415113709953e+01°)
3.46736850452531e+01	(4.31248346395216e+00dB,9.77550477819189e+01°)
3.54813389233575e+01	(4.11620805348371e+00dB,9.75724840831891e+01°)
3.63078054770101e+01	(3.91976785158431e+00dB,9.73937373178654e+01°)
3.71535229097172e+01	(3.72317000996063e+00dB,9.72187256615875e+01°)
3.80189396320561e+01	(3.52642138028224e+00dB,9.70473684352289e+01°)
3.89045144994280e+01	(3.32952852579204e+00dB,9.68795861147802e+01°)
3.98107170553497e+01	(3.13249773254971e+00dB,9.67153003386526e+01°)
4.07380277804112e+01	(2.93533502031205e+00dB,9.65544339125869e+01°)
4.16869383470335e+01	(2.73804615305480e+00dB,9.63969108123409e+01°)
4.26579518801592e+01	(2.54063664914132e+00dB,9.62426561843191e+01°)
4.36515832240165e+01	(2.34311179114413e+00dB,9.60915963442998e+01°)
4.46683592150962e+01	(2.14547663532557e+00dB,9.59436587744049e+01°)
4.57088189614874e+01	(1.94773602078476e+00dB,9.57987721184514e+01°)
4.67735141287197e+01	(1.74989457827780e+00dB,9.56568661758118e+01°)
4.78630092322638e+01	(1.55195673871893e+00dB,9.55178718939068e+01°)
4.89778819368445e+01	(1.35392674137036e+00dB,9.53817213594444e+01°)
5.01187233627271e+01	(1.15580864172866e+00dB,9.52483477885102e+01°)
5.12861383991364e+01	(9.57606319115839e-01dB,9.51176855156127e+01°)
5.24807460249772e+01	(7.59323483983214e-01dB,9.49896699817748e+01°)
5.37031796370252e+01	(5.60963684936322e-01dB,9.48642377217601e+01°)
5.49540873857623e+01	(3.62530315488988e-01dB,9.47413263505164e+01°)
5.62341325190348e+01	(1.64026620554839e-01dB,9.46208745489131e+01°)
5.75439937337156e+01	(-3.45442973156937e-02dB,9.45028220488420e+01°)
5.88843655355588e+01	(-2.33179471944725e-01dB,9.43871096177509e+01°)
6.02559586074357e+01	(-4.31876067774718e-01dB,9.42736790426690e+01°)
6.16595001861481e+01	(-6.30631374346829e-01dB,9.41624731137831e+01°)
6.30957344480192e+01	(-8.29442801002058e-01dB,9.40534356076172e+01°)
6.45654229034654e+01	(-1.02830787179763e+00dB,9.39465112698655e+01°)
6.60693448007595e+01	(-1.22722422063107e+00dB,9.38416457979228e+01°)
6.76082975391980e+01	(-1.42618958656486e+00dB,9.37387858231573e+01°)
6.91830970918935e+01	(-1.62520180934428e+00dB,9.36378788929615e+01°)
7.07945784384136e+01	(-1.82425882510179e+00dB,9.35388734526204e+01°)
7.24435960074988e+01	(-2.02335866224084e+00dB,9.34417188270268e+01°)
7.41310241300916e+01	(-2.22249943749289e+00dB,9.33463652022767e+01°)
7.58577575029182e+01	(-2.42167935214087e+00dB,9.32527636071710e+01°)
7.76247116628690e+01	(-2.62089668840317e+00dB,9.31608658946498e+01°)
7.94328234724279e+01	(-2.82014980597185e+00dB,9.30706247231814e+01°)
8.12830516164097e+01	(-3.01943713869944e+00dB,9.29819935381292e+01°)
8.31763771102669e+01	(-3.21875719142861e+00dB,9.28949265531128e+01°)
8.51138038202374e+01	(-3.41810853695912e+00dB,9.28093787313836e+01°)
8.70963589956078e+01	(-3.61748981314693e+00dB,9.27253057672282e+01°)
8.91250938133743e+01	(-3.81689972013026e+00dB,9.26426640674155e+01°)
9.12010839355907e+01	(-4.01633701767769e+00dB,9.25614107326984e+01°)
9.33254300796988e+01	(-4.21580052265360e+00dB,9.24815035393830e+01°)
9.54992586021433e+01	(-4.41528910659624e+00dB,9.24029009209740e+01°)
9.77237220955808e+01	(-4.61480169340418e+00dB,9.23255619499049e+01°)
9.99999999999997e+01	(-4.81433725712681e+00dB,9.22494463193622e+01°)
1.02329299228075e+02	(-5.01389481985479e+00dB,9.21745143252078e+01°)
1.04712854805090e+02	(-5.21347344970665e+00dB,9.21007268480071e+01°)
1.07151930523760e+02	(-5.41307225890754e+00dB,9.20280453351665e+01°)
1.09647819614318e+02	(-5.61269040195691e+00dB,9.19564317831844e+01°)
1.12201845430196e+02	(-5.81232707388112e+00dB,9.18858487200183e+01°)
1.14815362149688e+02	(-6.01198150856827e+00dB,9.18162591875711e+01°)
1.17489755493953e+02	(-6.21165297718147e+00dB,9.17476267242976e+01°)
1.20226443461741e+02	(-6.41134078664800e+00dB,9.16799153479322e+01°)
1.23026877081238e+02	(-6.61104427822116e+00dB,9.16130895383389e+01°)
1.25892541179416e+02	(-6.81076282611207e+00dB,9.15471142204821e+01°)
1.28824955169313e+02	(-7.01049583618892e+00dB,9.14819547475194e+01°)
1.31825673855640e+02	(-7.21024274474086e+00dB,9.14175768840138e+01°)
1.34896288259165e+02	(-7.41000301730442e+00dB,9.13539467892642e+01°)
