Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-1.664e-04,0.000203125
-1.662e-04,0.000228125
-1.661e-04,0.000265625
-1.659e-04,0.000134375
-1.658e-04,0.0001625
-1.656e-04,0.000140625
-1.654e-04,0.000296875
-1.653e-04,0.000346875
-1.651e-04,0.00026875
-1.650e-04,0.000146875
-1.648e-04,0.0002
-1.646e-04,0.00018125
-1.645e-04,0.00025
-1.643e-04,0.000165625
-1.642e-04,0.000165625
-1.640e-04,0.00025625
-1.638e-04,0.000115625
-1.637e-04,0.000271875
-1.635e-04,0.0003375
-1.634e-04,0.000253125
-1.632e-04,9.0625e-05
-1.630e-04,0.00025625
-1.629e-04,0.0003875
-1.627e-04,0.000159375
-1.626e-04,-0.0001125
-1.624e-04,-5.9375e-05
-1.622e-04,3.125e-05
-1.621e-04,0.000184375
-1.619e-04,0.000353125
-1.618e-04,0.0003125
-1.616e-04,0.000275
-1.614e-04,0.0001875
-1.613e-04,0.000478125
-1.611e-04,0.000178125
-1.610e-04,0.000134375
-1.608e-04,8.125e-05
-1.606e-04,9.375e-05
-1.605e-04,0.000190625
-1.603e-04,0.00023125
-1.602e-04,0.00033125
-1.600e-04,0.0002375
-1.598e-04,0.000175
-1.597e-04,0.0001875
-1.595e-04,0.0002375
-1.594e-04,0.000171875
-1.592e-04,0.00016875
-1.590e-04,0.00016875
-1.589e-04,0.000284375
-1.587e-04,0.000290625
-1.586e-04,0.0002625
-1.584e-04,9.375e-05
-1.582e-04,0.000278125
-1.581e-04,0.000409375
-1.579e-04,0.00046875
-1.578e-04,0.00025625
-1.576e-04,0.00010625
-1.574e-04,0.00016875
-1.573e-04,8.4375e-05
-1.571e-04,0.000134375
-1.570e-04,0.0002375
-1.568e-04,0.000221875
-1.566e-04,0.000278125
-1.565e-04,0.000225
-1.563e-04,0.000375
-1.562e-04,4.375e-05
-1.560e-04,0.000265625
-1.558e-04,0.000121875
-1.557e-04,0.00018125
-1.555e-04,0.000234375
-1.554e-04,0.000315625
-1.552e-04,0.000128125
-1.550e-04,0.000125
-1.549e-04,0.000246875
-1.547e-04,0.000253125
-1.546e-04,0.0003625
-1.544e-04,0.00020625
-1.542e-04,0.0003375
-1.541e-04,0.000221875
-1.539e-04,0.00019375
-1.538e-04,0.000246875
-1.536e-04,0.00016875
-1.534e-04,0.000175
-1.533e-04,0.000128125
-1.531e-04,0.0002375
-1.530e-04,0.000153125
-1.528e-04,0.00015
-1.526e-04,0.00010625
-1.525e-04,0.00040625
-1.523e-04,0.00021875
-1.522e-04,0.0002625
-1.520e-04,-0.00018125
-1.518e-04,-0.00084375
-1.517e-04,-0.0013875
-1.515e-04,-0.00198125
-1.514e-04,-0.00232187
-1.512e-04,0.0190094
-1.510e-04,0.0636969
-1.509e-04,0.0807562
-1.507e-04,0.0808
-1.506e-04,0.0808
-1.504e-04,0.0808
-1.502e-04,0.0808
-1.501e-04,0.0808
-1.499e-04,0.0808
-1.498e-04,0.0808
-1.496e-04,0.0808
-1.494e-04,0.0803344
-1.493e-04,0.0610875
-1.491e-04,0.03435
-1.490e-04,0.0163281
-1.488e-04,0.00917812
-1.486e-04,0.0104781
-1.485e-04,0.0150937
-1.483e-04,0.0199937
-1.482e-04,0.0232625
-1.480e-04,0.0242844
-1.478e-04,0.0235531
-1.477e-04,0.0220687
-1.475e-04,0.0203562
-1.474e-04,0.0189781
-1.472e-04,0.0180719
-1.470e-04,0.0177781
-1.469e-04,0.0174875
-1.467e-04,0.0172969
-1.466e-04,0.0172062
-1.464e-04,0.0170812
-1.462e-04,0.0169156
-1.461e-04,0.0165125
-1.459e-04,0.0163094
-1.458e-04,0.0163687
-1.456e-04,0.0163219
-1.454e-04,0.0162031
-1.453e-04,0.0162969
-1.451e-04,0.0160469
-1.450e-04,0.0161625
-1.448e-04,0.0162687
-1.446e-04,0.0162062
-1.445e-04,0.0161687
-1.443e-04,0.0164375
-1.442e-04,0.0164375
-1.440e-04,0.0163344
-1.438e-04,0.0163281
-1.437e-04,0.016475
-1.435e-04,0.0166875
-1.434e-04,0.0164625
-1.432e-04,0.0165437
-1.430e-04,0.0167312
-1.429e-04,0.0166219
-1.427e-04,0.0165219
-1.426e-04,0.0167562
-1.424e-04,0.0165562
-1.422e-04,0.0167187
-1.421e-04,0.0168094
-1.419e-04,0.0169094
-1.418e-04,0.0167937
-1.416e-04,0.0168
-1.414e-04,0.0167125
-1.413e-04,0.0167094
-1.411e-04,0.0167625
-1.410e-04,0.0168625
-1.408e-04,0.0167562
-1.406e-04,0.0167437
-1.405e-04,0.01675
-1.403e-04,0.0167
-1.402e-04,0.0167031
-1.400e-04,0.0167094
-1.398e-04,0.01685
-1.397e-04,0.0167062
-1.395e-04,0.0166375
-1.394e-04,0.0166062
-1.392e-04,0.0166812
-1.390e-04,0.016625
-1.389e-04,0.0166219
-1.387e-04,0.0166031
-1.386e-04,0.0166562
-1.384e-04,0.0166062
-1.382e-04,0.0166281
-1.381e-04,0.0165656
-1.379e-04,0.0166062
-1.378e-04,0.0164594
-1.376e-04,0.0163156
-1.374e-04,0.01635
-1.373e-04,0.0164125
-1.371e-04,0.0163812
-1.370e-04,0.0165281
-1.368e-04,0.0165656
-1.366e-04,0.016725
-1.365e-04,0.0164687
-1.363e-04,0.0165625
-1.362e-04,0.0166687
-1.360e-04,0.0163812
-1.358e-04,0.0164469
-1.357e-04,0.0165625
-1.355e-04,0.0166031
-1.354e-04,0.0166156
-1.352e-04,0.0165656
-1.350e-04,0.01675
-1.349e-04,0.0168969
-1.347e-04,0.0166875
-1.346e-04,0.0169531
-1.344e-04,0.01685
-1.342e-04,0.0168469
-1.341e-04,0.016825
-1.339e-04,0.0169406
-1.338e-04,0.0168594
-1.336e-04,0.0169281
-1.334e-04,0.016975
-1.333e-04,0.0170094
-1.331e-04,0.0169687
-1.330e-04,0.0169812
-1.328e-04,0.0169687
-1.326e-04,0.0170437
-1.325e-04,0.0171031
-1.323e-04,0.0169125
-1.322e-04,0.0170437
-1.320e-04,0.0171781
-1.318e-04,0.0171406
-1.317e-04,0.0172062
-1.315e-04,0.0171375
-1.314e-04,0.0171312
-1.312e-04,0.017275
-1.310e-04,0.017275
-1.309e-04,0.017175
-1.307e-04,0.0172625
-1.306e-04,0.0172906
-1.304e-04,0.0172594
-1.302e-04,0.0173156
-1.301e-04,0.0172906
-1.299e-04,0.017425
-1.298e-04,0.0175094
-1.296e-04,0.0174656
-1.294e-04,0.0174625
-1.293e-04,0.0173937
-1.291e-04,0.017375
-1.290e-04,0.0174469
-1.288e-04,0.017475
-1.286e-04,0.0174156
-1.285e-04,0.0174375
-1.283e-04,0.0175
-1.282e-04,0.0173562
-1.280e-04,0.0174094
-1.278e-04,0.0173937
-1.277e-04,0.0173719
-1.275e-04,0.0174094
-1.274e-04,0.0173062
-1.272e-04,0.01735
-1.270e-04,0.0173781
-1.269e-04,0.0172719
-1.267e-04,0.0172281
-1.266e-04,0.0172594
-1.264e-04,0.0171594
-1.262e-04,0.0172156
-1.261e-04,0.0171594
-1.259e-04,0.0171625
-1.258e-04,0.0172437
-1.256e-04,0.0173281
-1.254e-04,0.0172906
-1.253e-04,0.017175
-1.251e-04,0.0173625
-1.250e-04,0.0172812
-1.248e-04,0.0173281
-1.246e-04,0.0171875
-1.245e-04,0.0173031
-1.243e-04,0.0171469
-1.242e-04,0.0170937
-1.240e-04,0.0171812
-1.238e-04,0.0171094
-1.237e-04,0.0171
-1.235e-04,0.0169625
-1.234e-04,0.0170469
-1.232e-04,0.017125
-1.230e-04,0.0171531
-1.229e-04,0.0170906
-1.227e-04,0.0171062
-1.226e-04,0.0168469
-1.224e-04,0.0169281
-1.222e-04,0.0169562
-1.221e-04,0.0170937
-1.219e-04,0.0170594
-1.218e-04,0.0169406
-1.216e-04,0.01695
-1.214e-04,0.0169687
-1.213e-04,0.0168625
-1.211e-04,0.0170469
-1.210e-04,0.0169281
-1.208e-04,0.0169406
-1.206e-04,0.0169344
-1.205e-04,0.0168437
-1.203e-04,0.0167219
-1.202e-04,0.0167625
-1.200e-04,0.0168437
-1.198e-04,0.01685
-1.197e-04,0.0167875
-1.195e-04,0.0167031
-1.194e-04,0.0166969
-1.192e-04,0.0167125
-1.190e-04,0.0167937
-1.189e-04,0.0167375
-1.187e-04,0.0166031
-1.186e-04,0.0166531
-1.184e-04,0.0165375
-1.182e-04,0.0165687
-1.181e-04,0.0166094
-1.179e-04,0.0165812
-1.178e-04,0.0166531
-1.176e-04,0.0165469
-1.174e-04,0.0165875
-1.173e-04,0.0165531
-1.171e-04,0.0165
-1.170e-04,0.0164312
-1.168e-04,0.0165656
-1.166e-04,0.0165156
-1.165e-04,0.0164844
-1.163e-04,0.0165031
-1.162e-04,0.0165719
-1.160e-04,0.0162812
-1.158e-04,0.0164656
-1.157e-04,0.0163937
-1.155e-04,0.0163844
-1.154e-04,0.0162969
-1.152e-04,0.01625
-1.150e-04,0.0162906
-1.149e-04,0.0164281
-1.147e-04,0.0163
-1.146e-04,0.0165031
-1.144e-04,0.0163437
-1.142e-04,0.0164094
-1.141e-04,0.0162875
-1.139e-04,0.016175
-1.138e-04,0.0162687
-1.136e-04,0.0161406
-1.134e-04,0.0161875
-1.133e-04,0.0161781
-1.131e-04,0.0161969
-1.130e-04,0.0161094
-1.128e-04,0.016075
-1.126e-04,0.0160594
-1.125e-04,0.0160375
-1.123e-04,0.0159969
-1.122e-04,0.0159531
-1.120e-04,0.0160406
-1.118e-04,0.0160375
-1.117e-04,0.0161219
-1.115e-04,0.0160469
-1.114e-04,0.0159437
-1.112e-04,0.0159219
-1.110e-04,0.0160781
-1.109e-04,0.0160312
