Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-06
Sample Interval,1.6e-08
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.0059
Label,
TIME,CH1
3.149e-05,-0.0410668
3.150e-05,-0.0410898
3.152e-05,-0.0410714
3.154e-05,-0.040923
3.155e-05,-0.040911
3.157e-05,-0.0410446
3.158e-05,-0.0411322
3.160e-05,-0.0410806
3.162e-05,-0.0409285
3.163e-05,-0.0409737
3.165e-05,-0.0409681
3.166e-05,-0.0410548
3.168e-05,-0.0410382
3.170e-05,-0.0409921
3.171e-05,-0.0409064
3.173e-05,-0.0408732
3.174e-05,-0.0410115
3.176e-05,-0.0409571
3.178e-05,-0.0410778
3.179e-05,-0.0409663
3.181e-05,-0.040923
3.182e-05,-0.0409248
3.184e-05,-0.0408123
3.186e-05,-0.0410622
3.187e-05,-0.0409193
3.189e-05,-0.0408391
3.190e-05,-0.0409174
3.192e-05,-0.0408022
3.194e-05,-0.0409958
3.195e-05,-0.0408418
3.197e-05,-0.0408953
3.198e-05,-0.0409423
3.200e-05,-0.0408133
3.202e-05,-0.040816
3.203e-05,-0.0409119
3.205e-05,-0.0407911
3.206e-05,-0.0408298
3.208e-05,-0.0407589
3.210e-05,-0.0408833
3.211e-05,-0.0407985
3.213e-05,-0.0408483
3.214e-05,-0.0407985
3.216e-05,-0.0408133
3.218e-05,-0.0407985
3.219e-05,-0.0407874
3.221e-05,-0.0408372
3.222e-05,-0.0407902
3.224e-05,-0.040781
3.226e-05,-0.0408446
3.227e-05,-0.0407672
3.229e-05,-0.0408418
3.230e-05,-0.0407266
3.232e-05,-0.040864
3.234e-05,-0.0407994
3.235e-05,-0.0408437
3.237e-05,-0.0407699
3.238e-05,-0.040734
3.240e-05,-0.0407985
3.242e-05,-0.0407865
3.243e-05,-0.0408234
3.245e-05,-0.0407367
3.246e-05,-0.0407736
3.248e-05,-0.0408105
3.250e-05,-0.0407644
3.251e-05,-0.0408243
3.253e-05,-0.0407524
3.254e-05,-0.0407727
3.256e-05,-0.0408271
3.258e-05,-0.0407561
3.259e-05,-0.0407902
3.261e-05,-0.0407072
3.262e-05,-0.0408206
3.264e-05,-0.0407902
3.266e-05,-0.0409147
3.267e-05,-0.0406916
3.269e-05,-0.0407201
3.270e-05,-0.0406953
3.272e-05,-0.0409165
3.274e-05,-0.0408308
3.275e-05,-0.0408086
3.277e-05,-0.0406906
3.278e-05,-0.0407008
3.280e-05,-0.0408188
3.282e-05,-0.0408566
3.283e-05,-0.0407699
3.285e-05,-0.0407155
3.286e-05,-0.040722
3.288e-05,-0.0408142
3.290e-05,-0.0408031
3.291e-05,-0.0408123
3.293e-05,-0.0407082
3.294e-05,-0.0406575
3.296e-05,-0.0407847
3.298e-05,-0.0408575
3.299e-05,-0.0407672
3.301e-05,-0.0407755
3.302e-05,-0.0406888
3.304e-05,-0.040746
3.306e-05,-0.0408243
3.307e-05,-0.0407377
3.309e-05,-0.0408667
3.310e-05,-0.0407469
3.312e-05,-0.0408114
3.314e-05,-0.0407257
3.315e-05,-0.0408096
3.317e-05,-0.0408289
3.318e-05,-0.0408372
3.320e-05,-0.0408105
3.322e-05,-0.0407589
3.323e-05,-0.0408114
3.325e-05,-0.0408759
3.326e-05,-0.0408593
3.328e-05,-0.0408363
3.330e-05,-0.040792
3.331e-05,-0.0408861
3.333e-05,-0.040828
3.334e-05,-0.0409008
3.336e-05,-0.0407828
3.338e-05,-0.0409285
3.339e-05,-0.04091
3.341e-05,-0.0408898
3.342e-05,-0.0409359
3.344e-05,-0.0408326
3.346e-05,-0.0409119
3.347e-05,-0.0409082
3.349e-05,-0.0409091
3.350e-05,-0.0409497
3.352e-05,-0.0409008
3.354e-05,-0.0409903
3.355e-05,-0.0408842
3.357e-05,-0.0410068
3.358e-05,-0.0409405
3.360e-05,-0.0409405
3.362e-05,-0.0409248
3.363e-05,-0.0409174
3.365e-05,-0.0409884
3.366e-05,-0.0409322
3.368e-05,-0.0409949
3.370e-05,-0.0408879
3.371e-05,-0.0409064
3.373e-05,-0.040864
3.374e-05,-0.0409949
3.376e-05,-0.0409073
3.378e-05,-0.0409451
3.379e-05,-0.0409405
3.381e-05,-0.041017
3.382e-05,-0.0409884
3.384e-05,-0.0409395
3.386e-05,-0.0409497
3.387e-05,-0.040922
3.389e-05,-0.0409137
3.390e-05,-0.0409783
3.392e-05,-0.0408824
3.394e-05,-0.0410059
3.395e-05,-0.040911
3.397e-05,-0.0410981
3.398e-05,-0.0409276
3.400e-05,-0.0409755
3.402e-05,-0.0409635
3.403e-05,-0.0410354
3.405e-05,-0.0410327
3.406e-05,-0.0410502
3.408e-05,-0.0410041
3.410e-05,-0.0409949
3.411e-05,-0.0410354
3.413e-05,-0.0409654
3.414e-05,-0.0411202
3.416e-05,-0.0410944
3.418e-05,-0.0409617
3.419e-05,-0.0409939
3.421e-05,-0.0409368
3.422e-05,-0.0410529
3.424e-05,-0.041111
3.426e-05,-0.0411977
3.427e-05,-0.041099
3.429e-05,-0.0409571
3.430e-05,-0.041041
3.432e-05,-0.0410308
3.434e-05,-0.0411027
3.435e-05,-0.0411802
3.437e-05,-0.0411276
3.438e-05,-0.040993
3.440e-05,-0.0410502
3.442e-05,-0.0409903
3.443e-05,-0.0411258
3.445e-05,-0.0411036
3.446e-05,-0.041135
3.448e-05,-0.0410631
3.450e-05,-0.0410059
3.451e-05,-0.0411064
3.453e-05,-0.0411709
3.454e-05,-0.041229
3.456e-05,-0.0411921
3.458e-05,-0.0409884
3.459e-05,-0.0411267
3.461e-05,-0.0411885
3.462e-05,-0.0413203
3.464e-05,-0.0412041
3.466e-05,-0.0411202
3.467e-05,-0.0412198
3.469e-05,-0.0411285
3.470e-05,-0.0412843
3.472e-05,-0.0412392
3.474e-05,-0.0411543
3.475e-05,-0.0412806
3.477e-05,-0.0412281
3.478e-05,-0.0412207
3.480e-05,-0.0412465
3.482e-05,-0.0411691
3.483e-05,-0.0412604
3.485e-05,-0.0412272
3.486e-05,-0.0413959
3.488e-05,-0.0412594
3.490e-05,-0.0411986
3.491e-05,-0.0411553
3.493e-05,-0.0412392
3.494e-05,-0.0412622
3.496e-05,-0.041276
3.498e-05,-0.0412475
3.499e-05,-0.0412899
3.501e-05,-0.0411009
3.502e-05,-0.0412862
3.504e-05,-0.0412594
3.506e-05,-0.0414945
3.507e-05,-0.041359
3.509e-05,-0.0413378
3.510e-05,-0.0412226
3.512e-05,-0.0412899
3.514e-05,-0.041382
3.515e-05,-0.0414115
3.517e-05,-0.0413572
3.518e-05,-0.0414097
3.520e-05,-0.0413562
3.522e-05,-0.0413396
3.523e-05,-0.0413655
3.525e-05,-0.041359
3.526e-05,-0.0414162
3.528e-05,-0.0414309
3.530e-05,-0.0414881
3.531e-05,-0.0413009
3.533e-05,-0.0413738
3.534e-05,-0.0413516
3.536e-05,-0.0414576
3.538e-05,-0.0413581
3.539e-05,-0.0414088
3.541e-05,-0.041276
3.542e-05,-0.0413489
3.544e-05,-0.0412696
3.546e-05,-0.0414779
3.547e-05,-0.0414328
3.549e-05,-0.0415388
3.550e-05,-0.0413608
3.552e-05,-0.0413544
3.554e-05,-0.0414042
3.555e-05,-0.0414991
3.557e-05,-0.0414521
3.558e-05,-0.0413618
3.560e-05,-0.0413028
3.562e-05,-0.0414715
3.563e-05,-0.0414254
3.565e-05,-0.0415323
3.566e-05,-0.041347
3.568e-05,-0.0414438
3.570e-05,-0.0412548
3.571e-05,-0.0414272
3.573e-05,-0.041418
3.574e-05,-0.0414788
3.576e-05,-0.0413986
3.578e-05,-0.0413784
3.579e-05,-0.0413101
3.581e-05,-0.0413083
3.582e-05,-0.0414383
3.584e-05,-0.0413913
3.586e-05,-0.0413166
3.587e-05,-0.0412216
3.589e-05,-0.0412972
3.590e-05,-0.0414189
3.592e-05,-0.0413489
3.594e-05,-0.0413525
3.595e-05,-0.0412935
3.597e-05,-0.0412604
3.598e-05,-0.0414143
3.600e-05,-0.0412926
3.602e-05,-0.0414595
3.603e-05,-0.0412419
3.605e-05,-0.0413323
3.606e-05,-0.0412465
3.608e-05,-0.0413682
3.610e-05,-0.0412779
3.611e-05,-0.0413018
3.613e-05,-0.0412309
3.614e-05,-0.0413157
3.616e-05,-0.0412567
3.618e-05,-0.0413277
3.619e-05,-0.0412935
3.621e-05,-0.041359
3.622e-05,-0.0412253
3.624e-05,-0.0412511
3.626e-05,-0.0411903
3.627e-05,-0.0414309
3.629e-05,-0.0413009
3.630e-05,-0.0413664
3.632e-05,-0.0411571
3.634e-05,-0.0413083
3.635e-05,-0.0412779
3.637e-05,-0.0413433
3.638e-05,-0.0412972
3.640e-05,-0.0412816
3.642e-05,-0.0412465
3.643e-05,-0.0412825
3.645e-05,-0.0412152
3.646e-05,-0.0412779
3.648e-05,-0.0413194
3.650e-05,-0.0412825
3.651e-05,-0.0412834
3.653e-05,-0.0411931
3.654e-05,-0.0412299
3.656e-05,-0.041206
3.658e-05,-0.0412189
3.659e-05,-0.0412899
3.661e-05,-0.0413194
3.662e-05,-0.0413406
3.664e-05,-0.0412677
3.666e-05,-0.0412484
3.667e-05,-0.0412899
3.669e-05,-0.0411986
3.670e-05,-0.0414125
3.672e-05,-0.0412935
3.674e-05,-0.0414005
3.675e-05,-0.0411617
3.677e-05,-0.0412806
3.678e-05,-0.0412263
3.680e-05,-0.041371
3.682e-05,-0.041395
3.683e-05,-0.0413664
3.685e-05,-0.0412539
3.686e-05,-0.0411986
3.688e-05,-0.0412714
3.690e-05,-0.0415157
3.691e-05,-0.0412908
3.693e-05,-0.0414014
3.694e-05,-0.0411405
3.696e-05,-0.0412806
3.698e-05,-0.0413046
3.699e-05,-0.0413701
3.701e-05,-0.0414447
3.702e-05,-0.0412677
3.704e-05,-0.0413406
