Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-1.664e-04,0.000309375
-1.662e-04,0.000425
-1.661e-04,0.00038125
-1.659e-04,0.000365625
-1.658e-04,0.00030625
-1.656e-04,0.000346875
-1.654e-04,0.00035
-1.653e-04,0.000415625
-1.651e-04,0.00036875
-1.650e-04,0.000315625
-1.648e-04,0.0002125
-1.646e-04,0.000384375
-1.645e-04,0.0003375
-1.643e-04,0.000246875
-1.642e-04,0.000425
-1.640e-04,0.000275
-1.638e-04,0.000403125
-1.637e-04,0.000390625
-1.635e-04,0.000346875
-1.634e-04,0.000353125
-1.632e-04,0.00029375
-1.630e-04,0.00040625
-1.629e-04,0.00033125
-1.627e-04,0.00045
-1.626e-04,0.000359375
-1.624e-04,0.0002875
-1.622e-04,0.00029375
-1.621e-04,0.00015625
-1.619e-04,0.00014375
-1.618e-04,0.000196875
-1.616e-04,0.000271875
-1.614e-04,0.000328125
-1.613e-04,0.0005125
-1.611e-04,0.00046875
-1.610e-04,0.00050625
-1.608e-04,0.00049375
-1.606e-04,0.00026875
-1.605e-04,0.000309375
-1.603e-04,0.00041875
-1.602e-04,0.000303125
-1.600e-04,0.00015
-1.598e-04,0.000234375
-1.597e-04,0.000346875
-1.595e-04,0.0003125
-1.594e-04,0.00036875
-1.592e-04,7.8125e-05
-1.590e-04,0.00029375
-1.589e-04,0.000228125
-1.587e-04,0.000303125
-1.586e-04,0.00020625
-1.584e-04,0.000278125
-1.582e-04,0.0002625
-1.581e-04,0.000271875
-1.579e-04,0.0003625
-1.578e-04,0.000484375
-1.576e-04,0.0005875
-1.574e-04,0.0005375
-1.573e-04,0.000309375
-1.571e-04,0.000303125
-1.570e-04,0.000309375
-1.568e-04,0.0001875
-1.566e-04,0.000228125
-1.565e-04,0.00016875
-1.563e-04,0.0003125
-1.562e-04,0.000315625
-1.560e-04,0.0005375
-1.558e-04,0.0003375
-1.557e-04,0.000234375
-1.555e-04,0.000215625
-1.554e-04,0.000284375
-1.552e-04,0.000275
-1.550e-04,0.00025625
-1.549e-04,0.0003875
-1.547e-04,0.0002125
-1.546e-04,0.0002625
-1.544e-04,0.000375
-1.542e-04,0.000325
-1.541e-04,0.00028125
-1.539e-04,0.0003125
-1.538e-04,0.0002625
-1.536e-04,0.0003625
-1.534e-04,0.000284375
-1.533e-04,0.000328125
-1.531e-04,0.00045
-1.530e-04,0.000265625
-1.528e-04,0.000328125
-1.526e-04,0.000353125
-1.525e-04,0.000221875
-1.523e-04,0.0003
-1.522e-04,0.000353125
-1.520e-04,0.00044375
-1.518e-04,0.000446875
-1.517e-04,0.000253125
-1.515e-04,0.000275
-1.514e-04,-0.000171875
-1.512e-04,-0.00058125
-1.510e-04,-0.000978125
-1.509e-04,-0.002575
-1.507e-04,0.0130531
-1.506e-04,0.0633437
-1.504e-04,0.0808469
-1.502e-04,0.0808
-1.501e-04,0.0808
-1.499e-04,0.0808
-1.498e-04,0.0808
-1.496e-04,0.0808
-1.494e-04,0.0808
-1.493e-04,0.0808
-1.491e-04,0.0808469
-1.490e-04,0.0808
-1.488e-04,0.0808
-1.486e-04,0.0808
-1.485e-04,0.0808
-1.483e-04,0.0678719
-1.482e-04,0.0488062
-1.480e-04,0.0408656
-1.478e-04,0.0407281
-1.477e-04,0.0438531
-1.475e-04,0.0474312
-1.474e-04,0.0496812
-1.472e-04,0.0499875
-1.470e-04,0.0490625
-1.469e-04,0.0477562
-1.467e-04,0.046375
-1.466e-04,0.0455437
-1.464e-04,0.0450594
-1.462e-04,0.0451437
-1.461e-04,0.0454031
-1.459e-04,0.0460219
-1.458e-04,0.0463219
-1.456e-04,0.0465906
-1.454e-04,0.0467594
-1.453e-04,0.0470219
-1.451e-04,0.0470437
-1.450e-04,0.0470562
-1.448e-04,0.0470875
-1.446e-04,0.0472062
-1.445e-04,0.0472344
-1.443e-04,0.0473531
-1.442e-04,0.0474031
-1.440e-04,0.0472969
-1.438e-04,0.0473781
-1.437e-04,0.0474062
-1.435e-04,0.0471812
-1.434e-04,0.0472187
-1.432e-04,0.0471406
-1.430e-04,0.04705
-1.429e-04,0.0469594
-1.427e-04,0.0470625
-1.426e-04,0.0467844
-1.424e-04,0.0467406
-1.422e-04,0.0466031
-1.421e-04,0.0464344
-1.419e-04,0.0464312
-1.418e-04,0.0464687
-1.416e-04,0.04635
-1.414e-04,0.0463125
-1.413e-04,0.046125
-1.411e-04,0.0462719
-1.410e-04,0.0462625
-1.408e-04,0.0464406
-1.406e-04,0.0467312
-1.405e-04,0.0466312
-1.403e-04,0.0469656
-1.402e-04,0.0471375
-1.400e-04,0.0470562
-1.398e-04,0.0472437
-1.397e-04,0.0473844
-1.395e-04,0.0475125
-1.394e-04,0.0478656
-1.392e-04,0.04785
-1.390e-04,0.0481
-1.389e-04,0.0479875
-1.387e-04,0.0483031
-1.386e-04,0.0484
-1.384e-04,0.0485406
-1.382e-04,0.0485125
-1.381e-04,0.0487437
-1.379e-04,0.0487969
-1.378e-04,0.0488281
-1.376e-04,0.0489125
-1.374e-04,0.049
-1.373e-04,0.0489469
-1.371e-04,0.048925
-1.370e-04,0.0490437
-1.368e-04,0.0490906
-1.366e-04,0.049075
-1.365e-04,0.0490375
-1.363e-04,0.0491844
-1.362e-04,0.0491125
-1.360e-04,0.0490312
-1.358e-04,0.0489531
-1.357e-04,0.0488781
-1.355e-04,0.0487812
-1.354e-04,0.048725
-1.352e-04,0.0486562
-1.350e-04,0.048775
-1.349e-04,0.0486375
-1.347e-04,0.0487969
-1.346e-04,0.0487
-1.344e-04,0.0486656
-1.342e-04,0.0485375
-1.341e-04,0.048625
-1.339e-04,0.0486
-1.338e-04,0.0486437
-1.336e-04,0.0485219
-1.334e-04,0.0482281
-1.333e-04,0.0482719
-1.331e-04,0.0480937
-1.330e-04,0.0480375
-1.328e-04,0.0481687
-1.326e-04,0.0481406
-1.325e-04,0.0480375
-1.323e-04,0.0479344
-1.322e-04,0.0479594
-1.320e-04,0.0478281
-1.318e-04,0.0479
-1.317e-04,0.0478625
-1.315e-04,0.0477437
-1.314e-04,0.0476687
-1.312e-04,0.0476156
-1.310e-04,0.0476031
-1.309e-04,0.0476187
-1.307e-04,0.047475
-1.306e-04,0.0474312
-1.304e-04,0.0471094
-1.302e-04,0.0472094
-1.301e-04,0.0470906
-1.299e-04,0.0468687
-1.298e-04,0.0467937
-1.296e-04,0.046675
-1.294e-04,0.0466062
-1.293e-04,0.04665
-1.291e-04,0.0466937
-1.290e-04,0.0466812
-1.288e-04,0.0466062
-1.286e-04,0.0466594
-1.285e-04,0.04635
-1.283e-04,0.0464187
-1.282e-04,0.0462
-1.280e-04,0.0462687
-1.278e-04,0.0464031
-1.277e-04,0.0462469
-1.275e-04,0.0461125
-1.274e-04,0.0460906
-1.272e-04,0.0459125
-1.270e-04,0.0460437
-1.269e-04,0.0458781
-1.267e-04,0.0457375
-1.266e-04,0.0455969
-1.264e-04,0.0455531
-1.262e-04,0.0455344
-1.261e-04,0.0455281
-1.259e-04,0.0454469
-1.258e-04,0.0453062
-1.256e-04,0.0451969
-1.254e-04,0.0452094
-1.253e-04,0.0450687
-1.251e-04,0.0450375
-1.250e-04,0.0449875
-1.248e-04,0.0447656
-1.246e-04,0.0447937
-1.245e-04,0.0447625
-1.243e-04,0.0446062
-1.242e-04,0.0444812
-1.240e-04,0.0444875
-1.238e-04,0.0443812
-1.237e-04,0.0443125
-1.235e-04,0.0443094
-1.234e-04,0.0441312
-1.232e-04,0.0439219
-1.230e-04,0.0440406
-1.229e-04,0.0440344
-1.227e-04,0.0439812
-1.226e-04,0.0439375
-1.224e-04,0.0437906
-1.222e-04,0.0438094
-1.221e-04,0.0438781
-1.219e-04,0.0437844
-1.218e-04,0.0435781
-1.216e-04,0.0437281
-1.214e-04,0.0436312
-1.213e-04,0.0437719
-1.211e-04,0.0437094
-1.210e-04,0.0437312
-1.208e-04,0.0437969
-1.206e-04,0.0437219
-1.205e-04,0.0436844
-1.203e-04,0.0437219
-1.202e-04,0.0436062
-1.200e-04,0.0436344
-1.198e-04,0.043775
-1.197e-04,0.0436812
-1.195e-04,0.0436687
-1.194e-04,0.0436812
-1.192e-04,0.0436156
-1.190e-04,0.0438562
-1.189e-04,0.0437906
-1.187e-04,0.04375
-1.186e-04,0.0438281
-1.184e-04,0.043725
-1.182e-04,0.0439062
-1.181e-04,0.043825
-1.179e-04,0.0438
-1.178e-04,0.0438406
-1.176e-04,0.0439562
-1.174e-04,0.0438531
-1.173e-04,0.0439
-1.171e-04,0.043825
-1.170e-04,0.0438062
-1.168e-04,0.04375
-1.166e-04,0.0435844
-1.165e-04,0.043825
-1.163e-04,0.0436875
-1.162e-04,0.0437875
-1.160e-04,0.04385
-1.158e-04,0.04365
-1.157e-04,0.0436
-1.155e-04,0.0436187
-1.154e-04,0.0435531
-1.152e-04,0.0435594
-1.150e-04,0.0434125
-1.149e-04,0.0434156
-1.147e-04,0.0434437
-1.146e-04,0.0434125
-1.144e-04,0.0432687
-1.142e-04,0.0433062
-1.141e-04,0.0432594
-1.139e-04,0.0433812
-1.138e-04,0.0431906
-1.136e-04,0.0431
-1.134e-04,0.0431656
-1.133e-04,0.0430031
-1.131e-04,0.0429125
-1.130e-04,0.0430094
-1.128e-04,0.042875
-1.126e-04,0.0428
-1.125e-04,0.0428406
-1.123e-04,0.0426781
-1.122e-04,0.0428219
-1.120e-04,0.0428187
-1.118e-04,0.0425875
-1.117e-04,0.0425719
-1.115e-04,0.0427312
-1.114e-04,0.0426031
-1.112e-04,0.0426875
-1.110e-04,0.042625
-1.109e-04,0.0427
-1.107e-04,0.0427656
-1.106e-04,0.042725
