Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-06
Sample Interval,1.6e-08
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.00835
Label,
TIME,CH1
1.590e-05,-0.0565699
1.592e-05,-0.0565739
1.594e-05,-0.0565373
1.595e-05,-0.0566117
1.597e-05,-0.0564551
1.598e-05,-0.0565791
1.600e-05,-0.0565217
1.602e-05,-0.0566039
1.603e-05,-0.0565517
1.605e-05,-0.0564669
1.606e-05,-0.0565178
1.608e-05,-0.0565243
1.610e-05,-0.0566926
1.611e-05,-0.0566234
1.613e-05,-0.0565843
1.614e-05,-0.0565321
1.616e-05,-0.0564956
1.618e-05,-0.0565608
1.619e-05,-0.05663
1.621e-05,-0.056566
1.622e-05,-0.056596
1.624e-05,-0.0566378
1.626e-05,-0.0566874
1.627e-05,-0.0565934
1.629e-05,-0.0564877
1.630e-05,-0.0565243
1.632e-05,-0.0565673
1.634e-05,-0.0567095
1.635e-05,-0.0566156
1.637e-05,-0.0565412
1.638e-05,-0.0565947
1.640e-05,-0.0565047
1.642e-05,-0.0566743
1.643e-05,-0.056613
1.645e-05,-0.0565934
1.646e-05,-0.0565373
1.648e-05,-0.0565412
1.650e-05,-0.0566613
1.651e-05,-0.0565151
1.653e-05,-0.0566169
1.654e-05,-0.0564943
1.656e-05,-0.0566182
1.658e-05,-0.056553
1.659e-05,-0.0565047
1.661e-05,-0.0565543
1.662e-05,-0.0566287
1.664e-05,-0.0565151
1.666e-05,-0.0565386
1.667e-05,-0.0565699
1.669e-05,-0.0565256
1.670e-05,-0.0565243
1.672e-05,-0.0564891
1.674e-05,-0.0565243
1.675e-05,-0.0565699
1.677e-05,-0.0565569
1.678e-05,-0.0565386
1.680e-05,-0.0564982
1.682e-05,-0.0564864
1.683e-05,-0.0564812
1.685e-05,-0.0565621
1.686e-05,-0.0565478
1.688e-05,-0.0563847
1.690e-05,-0.0565504
1.691e-05,-0.0566495
1.693e-05,-0.0565452
1.694e-05,-0.056536
1.696e-05,-0.0564564
1.698e-05,-0.0564917
1.699e-05,-0.0565008
1.701e-05,-0.0565582
1.702e-05,-0.056429
1.704e-05,-0.056583
1.706e-05,-0.0564617
1.707e-05,-0.0566013
1.709e-05,-0.0565243
1.710e-05,-0.0565373
1.712e-05,-0.0564473
1.714e-05,-0.0565191
1.715e-05,-0.0564943
1.717e-05,-0.0566039
1.718e-05,-0.0566952
1.720e-05,-0.0566313
1.722e-05,-0.0565008
1.723e-05,-0.056553
1.725e-05,-0.0564303
1.726e-05,-0.0565726
1.728e-05,-0.0565908
1.730e-05,-0.0565752
1.731e-05,-0.0565869
1.733e-05,-0.056523
1.734e-05,-0.0565582
1.736e-05,-0.0566143
1.738e-05,-0.056626
1.739e-05,-0.0566247
1.741e-05,-0.0566039
1.742e-05,-0.0564656
1.744e-05,-0.0565243
1.746e-05,-0.0565908
1.747e-05,-0.0568178
1.749e-05,-0.056703
1.750e-05,-0.0566365
1.752e-05,-0.0564956
1.754e-05,-0.0565843
1.755e-05,-0.0566704
1.757e-05,-0.0566208
1.758e-05,-0.0567069
1.760e-05,-0.0567291
1.762e-05,-0.0565047
1.763e-05,-0.0565373
1.765e-05,-0.0565452
1.766e-05,-0.0567917
1.768e-05,-0.0565765
1.770e-05,-0.0566365
1.771e-05,-0.0565752
1.773e-05,-0.0566013
1.774e-05,-0.0567317
1.776e-05,-0.0566026
1.778e-05,-0.0566208
1.779e-05,-0.0565817
1.781e-05,-0.0566939
1.782e-05,-0.0567095
1.784e-05,-0.0566287
1.786e-05,-0.0566626
1.787e-05,-0.0565569
1.789e-05,-0.0567265
1.790e-05,-0.0566482
1.792e-05,-0.0566665
1.794e-05,-0.0566652
1.795e-05,-0.0566482
1.797e-05,-0.0565804
1.798e-05,-0.0566652
1.800e-05,-0.0566313
1.802e-05,-0.0566574
1.803e-05,-0.0566287
1.805e-05,-0.0567526
1.806e-05,-0.0566978
1.808e-05,-0.0566547
1.810e-05,-0.0567239
1.811e-05,-0.0566195
1.813e-05,-0.0566561
1.814e-05,-0.0566613
1.816e-05,-0.0567174
1.818e-05,-0.0567069
1.819e-05,-0.0566991
1.821e-05,-0.0566613
1.822e-05,-0.056673
1.824e-05,-0.0566352
1.826e-05,-0.0566469
1.827e-05,-0.0567422
1.829e-05,-0.0567709
1.830e-05,-0.056673
1.832e-05,-0.0566156
1.834e-05,-0.0565843
1.835e-05,-0.0567109
1.837e-05,-0.056793
1.838e-05,-0.0567278
1.840e-05,-0.056613
1.842e-05,-0.056643
1.843e-05,-0.0567356
1.845e-05,-0.0568283
1.846e-05,-0.056733
1.848e-05,-0.0567343
1.850e-05,-0.0567461
1.851e-05,-0.0567356
1.853e-05,-0.0567069
1.854e-05,-0.0567187
1.856e-05,-0.0566913
1.858e-05,-0.0567396
1.859e-05,-0.0567422
1.861e-05,-0.0568831
1.862e-05,-0.056703
1.864e-05,-0.0567461
1.866e-05,-0.0566287
1.867e-05,-0.0567996
1.869e-05,-0.0567643
1.870e-05,-0.056763
1.872e-05,-0.0567996
1.874e-05,-0.0566769
1.875e-05,-0.0567539
1.877e-05,-0.0568191
1.878e-05,-0.0567904
1.880e-05,-0.056797
1.882e-05,-0.0567317
1.883e-05,-0.0567748
1.885e-05,-0.0567239
1.886e-05,-0.0567304
1.888e-05,-0.0567891
1.890e-05,-0.0567983
1.891e-05,-0.0568296
1.893e-05,-0.0567552
1.894e-05,-0.0568139
1.896e-05,-0.0568009
1.898e-05,-0.0567369
1.899e-05,-0.0566574
1.901e-05,-0.0568165
1.902e-05,-0.05693
1.904e-05,-0.0568739
1.906e-05,-0.0567356
1.907e-05,-0.0566926
1.909e-05,-0.0568309
1.910e-05,-0.0569444
1.912e-05,-0.0568805
1.914e-05,-0.0568478
1.915e-05,-0.0567304
1.917e-05,-0.0566587
1.918e-05,-0.0567878
1.920e-05,-0.0569079
1.922e-05,-0.0568818
1.923e-05,-0.0569209
1.925e-05,-0.0567604
1.926e-05,-0.0569066
1.928e-05,-0.0568609
1.930e-05,-0.0569287
1.931e-05,-0.0568087
1.933e-05,-0.0567917
1.934e-05,-0.0568739
1.936e-05,-0.0568713
1.938e-05,-0.056947
1.939e-05,-0.0568648
1.941e-05,-0.0567643
1.942e-05,-0.0568713
1.944e-05,-0.0568792
1.946e-05,-0.0570592
1.947e-05,-0.056934
1.949e-05,-0.0569535
1.950e-05,-0.05687
1.952e-05,-0.0568987
1.954e-05,-0.0569026
1.955e-05,-0.0569366
1.957e-05,-0.0569522
1.958e-05,-0.0568609
1.960e-05,-0.056887
1.962e-05,-0.0567852
1.963e-05,-0.0568596
1.965e-05,-0.0569679
1.966e-05,-0.0570318
1.968e-05,-0.0569574
1.970e-05,-0.0569118
1.971e-05,-0.0568596
1.973e-05,-0.05684
1.974e-05,-0.0569105
1.976e-05,-0.05684
1.978e-05,-0.0570005
1.979e-05,-0.0569783
1.981e-05,-0.0568544
1.982e-05,-0.0568257
1.984e-05,-0.0568518
1.986e-05,-0.0569105
1.987e-05,-0.0569039
1.989e-05,-0.0569992
1.990e-05,-0.0568687
1.992e-05,-0.056887
1.994e-05,-0.0568609
1.995e-05,-0.0567813
1.997e-05,-0.05693
1.998e-05,-0.0568126
2.000e-05,-0.0568765
2.002e-05,-0.0567265
2.003e-05,-0.0568283
2.005e-05,-0.0568074
2.006e-05,-0.0567904
2.008e-05,-0.056917
2.010e-05,-0.0567617
2.011e-05,-0.0569026
2.013e-05,-0.0568165
2.014e-05,-0.0568126
2.016e-05,-0.0568087
2.018e-05,-0.05684
2.019e-05,-0.0566782
2.021e-05,-0.0567448
2.022e-05,-0.0567891
2.024e-05,-0.0569483
2.026e-05,-0.0569366
2.027e-05,-0.0568896
2.029e-05,-0.0567709
2.030e-05,-0.0567735
2.032e-05,-0.0568178
2.034e-05,-0.0568048
2.035e-05,-0.056767
2.037e-05,-0.0569157
2.038e-05,-0.0568022
2.040e-05,-0.0569131
2.042e-05,-0.0567617
2.043e-05,-0.0567604
2.045e-05,-0.0569131
2.046e-05,-0.0567878
2.048e-05,-0.0568152
2.050e-05,-0.0567474
2.051e-05,-0.0567904
2.053e-05,-0.0568713
2.054e-05,-0.0569157
2.056e-05,-0.0568948
2.058e-05,-0.056673
2.059e-05,-0.0566939
2.061e-05,-0.0566887
2.062e-05,-0.0569105
2.064e-05,-0.0568961
2.066e-05,-0.0567474
2.067e-05,-0.0567304
2.069e-05,-0.056797
2.070e-05,-0.056703
2.072e-05,-0.0568661
2.074e-05,-0.0567696
2.075e-05,-0.0567787
2.077e-05,-0.0567043
2.078e-05,-0.0566821
2.080e-05,-0.0567904
2.082e-05,-0.0567317
2.083e-05,-0.0568035
2.085e-05,-0.0568022
2.086e-05,-0.0566639
2.088e-05,-0.0566665
2.090e-05,-0.0566613
2.091e-05,-0.0568335
2.093e-05,-0.0567839
2.094e-05,-0.0566639
2.096e-05,-0.056613
2.098e-05,-0.0566365
2.099e-05,-0.0567461
2.101e-05,-0.0567278
2.102e-05,-0.056767
2.104e-05,-0.0566352
2.106e-05,-0.0567552
2.107e-05,-0.0567735
2.109e-05,-0.0568452
2.110e-05,-0.0567448
2.112e-05,-0.056673
2.114e-05,-0.0566574
2.115e-05,-0.0567944
2.117e-05,-0.0567004
2.118e-05,-0.0567422
2.120e-05,-0.056626
2.122e-05,-0.0567526
2.123e-05,-0.0567787
2.125e-05,-0.0568739
2.126e-05,-0.056797
2.128e-05,-0.0567109
2.130e-05,-0.0568426
2.131e-05,-0.0568348
2.133e-05,-0.0567774
2.134e-05,-0.0568152
2.136e-05,-0.0567748
2.138e-05,-0.0567891
2.139e-05,-0.0567722
2.141e-05,-0.0568165
2.142e-05,-0.0567839
2.144e-05,-0.05687
2.146e-05,-0.0567957
2.147e-05,-0.0567878
