Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-1.664e-04,0.000215625
-1.662e-04,0.00015
-1.661e-04,0.000315625
-1.659e-04,0.000390625
-1.658e-04,0.000303125
-1.656e-04,0.000203125
-1.654e-04,0.0001875
-1.653e-04,0.000275
-1.651e-04,0.00010625
-1.650e-04,0.000196875
-1.648e-04,0.000315625
-1.646e-04,0.000190625
-1.645e-04,0.000353125
-1.643e-04,0.0002875
-1.642e-04,0.00025
-1.640e-04,0.0002125
-1.638e-04,7.8125e-05
-1.637e-04,0.000378125
-1.635e-04,0.000271875
-1.634e-04,0.00035625
-1.632e-04,0.0003
-1.630e-04,0.0002375
-1.629e-04,0.0003125
-1.627e-04,0.000440625
-1.626e-04,0.000315625
-1.624e-04,6.25e-06
-1.622e-04,-3.125e-05
-1.621e-04,5.625e-05
-1.619e-04,0.000246875
-1.618e-04,0.000209375
-1.616e-04,0.000246875
-1.614e-04,0.00044375
-1.613e-04,0.00035625
-1.611e-04,0.0003375
-1.610e-04,0.00023125
-1.608e-04,0.00025625
-1.606e-04,0.000171875
-1.605e-04,0.00033125
-1.603e-04,0.0002625
-1.602e-04,0.00015625
-1.600e-04,0.000309375
-1.598e-04,0.000228125
-1.597e-04,0.000225
-1.595e-04,0.00028125
-1.594e-04,0.00028125
-1.592e-04,0.000209375
-1.590e-04,0.000196875
-1.589e-04,0.000278125
-1.587e-04,0.00018125
-1.586e-04,0.000146875
-1.584e-04,0.00020625
-1.582e-04,0.0005125
-1.581e-04,0.000528125
-1.579e-04,0.00055625
-1.578e-04,0.00026875
-1.576e-04,0.0002375
-1.574e-04,0.00021875
-1.573e-04,-1.5625e-05
-1.571e-04,1.5625e-05
-1.570e-04,0.00013125
-1.568e-04,0.00014375
-1.566e-04,0.000303125
-1.565e-04,0.00014375
-1.563e-04,0.000159375
-1.562e-04,0.000346875
-1.560e-04,0.0004125
-1.558e-04,0.000225
-1.557e-04,0.000221875
-1.555e-04,0.00031875
-1.554e-04,0.00011875
-1.552e-04,8.75e-05
-1.550e-04,0.0002375
-1.549e-04,0.000278125
-1.547e-04,0.000275
-1.546e-04,0.00035
-1.544e-04,0.00016875
-1.542e-04,0.0002875
-1.541e-04,0.00020625
-1.539e-04,0.000140625
-1.538e-04,0.000109375
-1.536e-04,0.00025
-1.534e-04,0.000225
-1.533e-04,0.0002375
-1.531e-04,0.000165625
-1.530e-04,0.000290625
-1.528e-04,0.000253125
-1.526e-04,0.000171875
-1.525e-04,0.000125
-1.523e-04,0.00029375
-1.522e-04,0.0001625
-1.520e-04,0.000165625
-1.518e-04,-0.000171875
-1.517e-04,-0.000825
-1.515e-04,-0.00141562
-1.514e-04,-0.00214375
-1.512e-04,-0.001
-1.510e-04,0.0323844
-1.509e-04,0.0751844
-1.507e-04,0.0808
-1.506e-04,0.0808
-1.504e-04,0.0808
-1.502e-04,0.0808
-1.501e-04,0.0808
-1.499e-04,0.0808
-1.498e-04,0.0808
-1.496e-04,0.0808
-1.494e-04,0.0808
-1.493e-04,0.0808
-1.491e-04,0.07795
-1.490e-04,0.0527687
-1.488e-04,0.0314125
-1.486e-04,0.0206844
-1.485e-04,0.0195406
-1.483e-04,0.0232562
-1.482e-04,0.0281844
-1.480e-04,0.0315375
-1.478e-04,0.0328875
-1.477e-04,0.0324781
-1.475e-04,0.0309125
-1.474e-04,0.029025
-1.472e-04,0.0274156
-1.470e-04,0.0264062
-1.469e-04,0.0256594
-1.467e-04,0.0255062
-1.466e-04,0.0252656
-1.464e-04,0.0251969
-1.462e-04,0.025425
-1.461e-04,0.0252312
-1.459e-04,0.0251844
-1.458e-04,0.025125
-1.456e-04,0.0249187
-1.454e-04,0.0250562
-1.453e-04,0.0252125
-1.451e-04,0.025175
-1.450e-04,0.0252125
-1.448e-04,0.0253437
-1.446e-04,0.0253844
-1.445e-04,0.0256344
-1.443e-04,0.0256031
-1.442e-04,0.02565
-1.440e-04,0.0256031
-1.438e-04,0.0258156
-1.437e-04,0.0257344
-1.435e-04,0.0259312
-1.434e-04,0.0257969
-1.432e-04,0.0258312
-1.430e-04,0.0258656
-1.429e-04,0.0260187
-1.427e-04,0.0260281
-1.426e-04,0.0258812
-1.424e-04,0.0260062
-1.422e-04,0.0258906
-1.421e-04,0.0260906
-1.419e-04,0.026075
-1.418e-04,0.0258875
-1.416e-04,0.0260406
-1.414e-04,0.0260344
-1.413e-04,0.026
-1.411e-04,0.0258344
-1.410e-04,0.0257844
-1.408e-04,0.0257344
-1.406e-04,0.0256812
-1.405e-04,0.0256062
-1.403e-04,0.0257062
-1.402e-04,0.025625
-1.400e-04,0.0255781
-1.398e-04,0.0255406
-1.397e-04,0.0256937
-1.395e-04,0.0257906
-1.394e-04,0.0255562
-1.392e-04,0.0255844
-1.390e-04,0.0256062
-1.389e-04,0.0254219
-1.387e-04,0.025575
-1.386e-04,0.0254437
-1.384e-04,0.0256094
-1.382e-04,0.0255031
-1.381e-04,0.0256031
-1.379e-04,0.0257344
-1.378e-04,0.0257937
-1.376e-04,0.0257281
-1.374e-04,0.0258156
-1.373e-04,0.0258094
-1.371e-04,0.0258719
-1.370e-04,0.0257781
-1.368e-04,0.0259
-1.366e-04,0.0259125
-1.365e-04,0.0261187
-1.363e-04,0.0261469
-1.362e-04,0.0261625
-1.360e-04,0.0262906
-1.358e-04,0.0261969
-1.357e-04,0.0264375
-1.355e-04,0.0263594
-1.354e-04,0.0263656
-1.352e-04,0.026375
-1.350e-04,0.0262969
-1.349e-04,0.0266219
-1.347e-04,0.0265062
-1.346e-04,0.0268125
-1.344e-04,0.0266219
-1.342e-04,0.0267094
-1.341e-04,0.0266781
-1.339e-04,0.0265875
-1.338e-04,0.0268875
-1.336e-04,0.0267562
-1.334e-04,0.0267625
-1.333e-04,0.0267406
-1.331e-04,0.0267344
-1.330e-04,0.0268375
-1.328e-04,0.0267969
-1.326e-04,0.0267937
-1.325e-04,0.0269375
-1.323e-04,0.0267656
-1.322e-04,0.0269531
-1.320e-04,0.0268937
-1.318e-04,0.026775
-1.317e-04,0.0267594
-1.315e-04,0.027
-1.314e-04,0.0268312
-1.312e-04,0.0267719
-1.310e-04,0.0266906
-1.309e-04,0.0266875
-1.307e-04,0.0267
-1.306e-04,0.0266
-1.304e-04,0.0266187
-1.302e-04,0.0266187
-1.301e-04,0.026725
-1.299e-04,0.0268
-1.298e-04,0.026775
-1.296e-04,0.0266969
-1.294e-04,0.0266687
-1.293e-04,0.0266562
-1.291e-04,0.0267562
-1.290e-04,0.0265875
-1.288e-04,0.0267281
-1.286e-04,0.0266687
-1.285e-04,0.0265187
-1.283e-04,0.026675
-1.282e-04,0.0265906
-1.280e-04,0.0266375
-1.278e-04,0.0266344
-1.277e-04,0.0266625
-1.275e-04,0.0265781
-1.274e-04,0.0264719
-1.272e-04,0.0264
-1.270e-04,0.0265969
-1.269e-04,0.0263344
-1.267e-04,0.0265656
-1.266e-04,0.0266437
-1.264e-04,0.0264031
-1.262e-04,0.0263281
-1.261e-04,0.0263906
-1.259e-04,0.0263062
-1.258e-04,0.0263812
-1.256e-04,0.0262281
-1.254e-04,0.0264031
-1.253e-04,0.0264312
-1.251e-04,0.0264812
-1.250e-04,0.0263375
-1.248e-04,0.0263781
-1.246e-04,0.0262906
-1.245e-04,0.0262125
-1.243e-04,0.0259562
-1.242e-04,0.0259969
-1.240e-04,0.0259812
-1.238e-04,0.0260094
-1.237e-04,0.025875
-1.235e-04,0.025825
-1.234e-04,0.0259687
-1.232e-04,0.0258906
-1.230e-04,0.0257594
-1.229e-04,0.0258656
-1.227e-04,0.0258531
-1.226e-04,0.0257437
-1.224e-04,0.0258937
-1.222e-04,0.0256562
-1.221e-04,0.0255531
-1.219e-04,0.0258
-1.218e-04,0.0255219
-1.216e-04,0.0256031
-1.214e-04,0.0256969
-1.213e-04,0.0258125
-1.211e-04,0.0255531
-1.210e-04,0.0256875
-1.208e-04,0.0256719
-1.206e-04,0.0253969
-1.205e-04,0.0254156
-1.203e-04,0.0256031
-1.202e-04,0.0254719
-1.200e-04,0.0253375
-1.198e-04,0.0255062
-1.197e-04,0.0255094
-1.195e-04,0.0254312
-1.194e-04,0.0253531
-1.192e-04,0.0254187
-1.190e-04,0.0252344
-1.189e-04,0.0252344
-1.187e-04,0.0253375
-1.186e-04,0.0252719
-1.184e-04,0.0254344
-1.182e-04,0.0252312
-1.181e-04,0.0252875
-1.179e-04,0.0251812
-1.178e-04,0.0252406
-1.176e-04,0.0251219
-1.174e-04,0.0250437
-1.173e-04,0.0250094
-1.171e-04,0.0250219
-1.170e-04,0.0249437
-1.168e-04,0.024925
-1.166e-04,0.0248406
-1.165e-04,0.0249375
-1.163e-04,0.0248406
-1.162e-04,0.0249906
-1.160e-04,0.0248437
-1.158e-04,0.0248406
-1.157e-04,0.0248375
-1.155e-04,0.0248187
-1.154e-04,0.02455
-1.152e-04,0.024625
-1.150e-04,0.0247531
-1.149e-04,0.0245719
-1.147e-04,0.0247344
-1.146e-04,0.0246312
-1.144e-04,0.024475
-1.142e-04,0.02455
-1.141e-04,0.024425
-1.139e-04,0.0245844
-1.138e-04,0.0243812
-1.136e-04,0.0244094
-1.134e-04,0.0245094
-1.133e-04,0.0243625
-1.131e-04,0.0244562
-1.130e-04,0.024375
-1.128e-04,0.0243969
-1.126e-04,0.0243375
-1.125e-04,0.0242687
-1.123e-04,0.0243812
-1.122e-04,0.0243281
-1.120e-04,0.0241062
-1.118e-04,0.0242219
-1.117e-04,0.0242844
-1.115e-04,0.0242656
-1.114e-04,0.0245
-1.112e-04,0.0242719
-1.110e-04,0.0242437
-1.109e-04,0.0242844
-1.107e-04,0.0240875
