Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-06
Sample Interval,3.2e-08
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.015
Label,
TIME,CH1
-3.219e-05,-0.0482273
-3.216e-05,-0.0481969
-3.213e-05,-0.0482648
-3.210e-05,-0.0482203
-3.206e-05,-0.0481781
-3.203e-05,-0.0480609
-3.200e-05,-0.0481781
-3.197e-05,-0.0482672
-3.194e-05,-0.0481266
-3.190e-05,-0.0483328
-3.187e-05,-0.0482133
-3.184e-05,-0.0483516
-3.181e-05,-0.0483164
-3.178e-05,-0.0481828
-3.174e-05,-0.0483047
-3.171e-05,-0.0482578
-3.168e-05,-0.0482648
-3.165e-05,-0.0482625
-3.162e-05,-0.0482461
-3.158e-05,-0.0483141
-3.155e-05,-0.0483867
-3.152e-05,-0.0484312
-3.149e-05,-0.0482203
-3.146e-05,-0.0483984
-3.142e-05,-0.0483
-3.139e-05,-0.0483844
-3.136e-05,-0.048457
-3.133e-05,-0.0483727
-3.130e-05,-0.048457
-3.126e-05,-0.0484172
-3.123e-05,-0.0483797
-3.120e-05,-0.0484711
-3.117e-05,-0.048525
-3.114e-05,-0.0484289
-3.110e-05,-0.0484383
-3.107e-05,-0.048593
-3.104e-05,-0.0484219
-3.101e-05,-0.0485203
-3.098e-05,-0.0485578
-3.094e-05,-0.0485273
-3.091e-05,-0.0484852
-3.088e-05,-0.0486094
-3.085e-05,-0.0484172
-3.082e-05,-0.048293
-3.078e-05,-0.0484781
-3.075e-05,-0.0485039
-3.072e-05,-0.0483492
-3.069e-05,-0.0484969
-3.066e-05,-0.0484055
-3.062e-05,-0.0485156
-3.059e-05,-0.048307
-3.056e-05,-0.0484148
-3.053e-05,-0.0484945
-3.050e-05,-0.048443
-3.046e-05,-0.0484477
-3.043e-05,-0.0484969
-3.040e-05,-0.0483867
-3.037e-05,-0.048532
-3.034e-05,-0.0485109
-3.030e-05,-0.0483867
-3.027e-05,-0.048518
-3.024e-05,-0.0485062
-3.021e-05,-0.0484969
-3.018e-05,-0.0486094
-3.014e-05,-0.0484781
-3.011e-05,-0.0484852
-3.008e-05,-0.0484992
-3.005e-05,-0.0484617
-3.002e-05,-0.0486398
-2.998e-05,-0.0483023
-2.995e-05,-0.0484078
-2.992e-05,-0.0486164
-2.989e-05,-0.0485156
-2.986e-05,-0.0484945
-2.982e-05,-0.0486937
-2.979e-05,-0.0485156
-2.976e-05,-0.0484758
-2.973e-05,-0.0485578
-2.970e-05,-0.0484289
-2.966e-05,-0.0484687
-2.963e-05,-0.0485953
-2.960e-05,-0.0486797
-2.957e-05,-0.0485227
-2.954e-05,-0.0486023
-2.950e-05,-0.0485039
-2.947e-05,-0.0486305
-2.944e-05,-0.0484898
-2.941e-05,-0.0485695
-2.938e-05,-0.0486281
-2.934e-05,-0.0485719
-2.931e-05,-0.0485109
-2.928e-05,-0.0485883
-2.925e-05,-0.048525
-2.922e-05,-0.0484875
-2.918e-05,-0.0484875
-2.915e-05,-0.0486047
-2.912e-05,-0.0485672
-2.909e-05,-0.0485484
-2.906e-05,-0.048607
-2.902e-05,-0.0485109
-2.899e-05,-0.0486023
-2.896e-05,-0.0486539
-2.893e-05,-0.048668
-2.890e-05,-0.0485789
-2.886e-05,-0.048593
-2.883e-05,-0.0486023
-2.880e-05,-0.0485906
-2.877e-05,-0.0486937
-2.874e-05,-0.0486305
-2.870e-05,-0.0486773
-2.867e-05,-0.0486
-2.864e-05,-0.0485484
-2.861e-05,-0.0486867
-2.858e-05,-0.0486586
-2.854e-05,-0.048593
-2.851e-05,-0.048675
-2.848e-05,-0.0485695
-2.845e-05,-0.0486586
-2.842e-05,-0.0487055
-2.838e-05,-0.0485414
-2.835e-05,-0.0486867
-2.832e-05,-0.048675
-2.829e-05,-0.0486844
-2.826e-05,-0.0486445
-2.822e-05,-0.0487312
-2.819e-05,-0.0487312
-2.816e-05,-0.0486281
-2.813e-05,-0.0486234
-2.810e-05,-0.0486867
-2.806e-05,-0.0486727
-2.803e-05,-0.0487125
-2.800e-05,-0.0486375
-2.797e-05,-0.0486187
-2.794e-05,-0.0485625
-2.790e-05,-0.0485742
-2.787e-05,-0.0486094
-2.784e-05,-0.0486867
-2.781e-05,-0.0485836
-2.778e-05,-0.0484992
-2.774e-05,-0.0487172
-2.771e-05,-0.0485367
-2.768e-05,-0.0485742
-2.765e-05,-0.0485648
-2.762e-05,-0.0485133
-2.758e-05,-0.048532
-2.755e-05,-0.0487031
-2.752e-05,-0.0484664
-2.749e-05,-0.0485812
-2.746e-05,-0.0486234
-2.742e-05,-0.0485602
-2.739e-05,-0.0485297
-2.736e-05,-0.0484617
-2.733e-05,-0.048593
-2.730e-05,-0.0485414
-2.726e-05,-0.0486023
-2.723e-05,-0.0486422
-2.720e-05,-0.0486469
-2.717e-05,-0.0486773
-2.714e-05,-0.0486797
-2.710e-05,-0.048607
-2.707e-05,-0.0486609
-2.704e-05,-0.0487312
-2.701e-05,-0.0486914
-2.698e-05,-0.0488016
-2.694e-05,-0.0488156
-2.691e-05,-0.0487523
-2.688e-05,-0.0488508
-2.685e-05,-0.0487055
-2.682e-05,-0.0487617
-2.678e-05,-0.0489539
-2.675e-05,-0.0487078
-2.672e-05,-0.0487852
-2.669e-05,-0.0489094
-2.666e-05,-0.0487852
-2.662e-05,-0.0489117
-2.659e-05,-0.0488648
-2.656e-05,-0.048907
-2.653e-05,-0.0489352
-2.650e-05,-0.0488906
-2.646e-05,-0.0487758
-2.643e-05,-0.048907
-2.640e-05,-0.0489422
-2.637e-05,-0.0490031
-2.634e-05,-0.0488461
-2.630e-05,-0.0488578
-2.627e-05,-0.0490008
-2.624e-05,-0.0489914
-2.621e-05,-0.048968
-2.618e-05,-0.0489305
-2.614e-05,-0.0489539
-2.611e-05,-0.0489234
-2.608e-05,-0.0489492
-2.605e-05,-0.0489656
-2.602e-05,-0.0490266
-2.598e-05,-0.0489328
-2.595e-05,-0.0489047
-2.592e-05,-0.0490078
-2.589e-05,-0.0489609
-2.586e-05,-0.0489633
-2.582e-05,-0.0490758
-2.579e-05,-0.0489539
-2.576e-05,-0.0489539
-2.573e-05,-0.0491156
-2.570e-05,-0.0489469
-2.566e-05,-0.048982
-2.563e-05,-0.0490852
-2.560e-05,-0.0488742
-2.557e-05,-0.0490102
-2.554e-05,-0.0488391
-2.550e-05,-0.0489141
-2.547e-05,-0.0489281
-2.544e-05,-0.0489797
-2.541e-05,-0.0489398
-2.538e-05,-0.0489281
-2.534e-05,-0.048968
-2.531e-05,-0.0490195
-2.528e-05,-0.0489516
-2.525e-05,-0.0489328
-2.522e-05,-0.0489328
-2.518e-05,-0.0489914
-2.515e-05,-0.0489914
-2.512e-05,-0.0489352
-2.509e-05,-0.0488883
-2.506e-05,-0.0489516
-2.502e-05,-0.0488461
-2.499e-05,-0.0490289
-2.496e-05,-0.0489352
-2.493e-05,-0.0488836
-2.490e-05,-0.0488719
-2.486e-05,-0.0488742
-2.483e-05,-0.0489234
-2.480e-05,-0.0488906
-2.477e-05,-0.04875
-2.474e-05,-0.0489398
-2.470e-05,-0.0488719
-2.467e-05,-0.0487969
-2.464e-05,-0.0490031
-2.461e-05,-0.0488859
-2.458e-05,-0.0489352
-2.454e-05,-0.0489375
-2.451e-05,-0.0489375
-2.448e-05,-0.0489234
-2.445e-05,-0.0489023
-2.442e-05,-0.0489844
-2.438e-05,-0.0489164
-2.435e-05,-0.0488859
-2.432e-05,-0.0488789
-2.429e-05,-0.0489234
-2.426e-05,-0.0490078
-2.422e-05,-0.0488086
-2.419e-05,-0.0489914
-2.416e-05,-0.0490406
-2.413e-05,-0.0489023
-2.410e-05,-0.048982
-2.406e-05,-0.0491297
-2.403e-05,-0.0488648
-2.400e-05,-0.0487758
-2.397e-05,-0.0491555
-2.394e-05,-0.0489609
-2.390e-05,-0.0488508
-2.387e-05,-0.0489984
-2.384e-05,-0.0489562
-2.381e-05,-0.0489164
-2.378e-05,-0.0489961
-2.374e-05,-0.0490289
-2.371e-05,-0.0488812
-2.368e-05,-0.0490523
-2.365e-05,-0.0489492
-2.362e-05,-0.0490289
-2.358e-05,-0.0491227
-2.355e-05,-0.0490477
-2.352e-05,-0.0489586
-2.349e-05,-0.0490594
-2.346e-05,-0.0490453
-2.342e-05,-0.0490008
-2.339e-05,-0.049118
-2.336e-05,-0.0490312
-2.333e-05,-0.0489469
-2.330e-05,-0.0490594
-2.326e-05,-0.0490195
-2.323e-05,-0.048968
-2.320e-05,-0.0489375
-2.317e-05,-0.0490266
-2.314e-05,-0.0489703
-2.310e-05,-0.0489937
-2.307e-05,-0.0490312
-2.304e-05,-0.0490383
-2.301e-05,-0.0489586
-2.298e-05,-0.0489211
-2.294e-05,-0.0489867
-2.291e-05,-0.0490922
-2.288e-05,-0.0489164
-2.285e-05,-0.0488883
-2.282e-05,-0.0489984
-2.278e-05,-0.0489328
-2.275e-05,-0.0489375
-2.272e-05,-0.0489961
-2.269e-05,-0.0490383
-2.266e-05,-0.0490102
-2.262e-05,-0.0490289
-2.259e-05,-0.0490242
-2.256e-05,-0.0489867
-2.253e-05,-0.0491508
-2.250e-05,-0.0490687
-2.246e-05,-0.04905
-2.243e-05,-0.0490945
-2.240e-05,-0.0490734
-2.237e-05,-0.0490242
-2.234e-05,-0.0490453
-2.230e-05,-0.0490219
-2.227e-05,-0.0490406
-2.224e-05,-0.0490289
-2.221e-05,-0.0490922
-2.218e-05,-0.0490336
-2.214e-05,-0.0490641
-2.211e-05,-0.0490711
-2.208e-05,-0.0489258
-2.205e-05,-0.0489656
-2.202e-05,-0.0489492
-2.198e-05,-0.0489328
-2.195e-05,-0.0489539
-2.192e-05,-0.0489328
-2.189e-05,-0.0488836
-2.186e-05,-0.0487594
-2.182e-05,-0.0489375
