Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-05
Sample Interval,3.2e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.0492
Label,
TIME,CH1
-3.264e-04,0.000884062
-3.261e-04,0.000684187
-3.258e-04,0.000945562
-3.254e-04,0.0005535
-3.251e-04,0.0006765
-3.248e-04,0.000884062
-3.245e-04,0.00095325
-3.242e-04,0.00076875
-3.238e-04,0.000691875
-3.235e-04,0.000714937
-3.232e-04,0.000730312
-3.229e-04,0.00101475
-3.226e-04,0.000668812
-3.222e-04,0.000784125
-3.219e-04,0.00070725
-3.216e-04,0.000837937
-3.213e-04,0.000738
-3.210e-04,0.000807187
-3.206e-04,0.000837937
-3.203e-04,0.000784125
-3.200e-04,0.0010455
-3.197e-04,0.000492
-3.194e-04,0.00089175
-3.190e-04,0.000791812
-3.187e-04,0.000914812
-3.184e-04,0.000930187
-3.181e-04,0.000745687
-3.178e-04,0.000837937
-3.174e-04,0.00070725
-3.171e-04,0.000899437
-3.168e-04,0.000738
-3.165e-04,0.000930187
-3.162e-04,0.00118387
-3.158e-04,0.000661125
-3.155e-04,0.000776437
-3.152e-04,0.00083025
-3.149e-04,0.00108394
-3.146e-04,0.000907125
-3.142e-04,0.000814875
-3.139e-04,0.000699562
-3.136e-04,0.0009225
-3.133e-04,0.000845625
-3.130e-04,0.000984
-3.126e-04,0.000930187
-3.123e-04,0.000738
-3.120e-04,0.000599625
-3.117e-04,0.000845625
-3.114e-04,0.000945562
-3.110e-04,0.000668812
-3.107e-04,0.000730312
-3.104e-04,0.000607312
-3.101e-04,0.000930187
-3.098e-04,0.000868687
-3.094e-04,0.000937875
-3.091e-04,0.000730312
-3.088e-04,0.000907125
-3.085e-04,0.00083025
-3.082e-04,0.000507375
-3.078e-04,0.000837937
-3.075e-04,0.0007995
-3.072e-04,0.000722625
-3.069e-04,0.000722625
-3.066e-04,0.000937875
-3.062e-04,0.000607312
-3.059e-04,0.000837937
-3.056e-04,0.000837937
-3.053e-04,0.000730312
-3.050e-04,0.000914812
-3.046e-04,0.000638062
-3.043e-04,0.000722625
-3.040e-04,0.000745687
-3.037e-04,0.000714937
-3.034e-04,0.000699562
-3.030e-04,0.000822562
-3.027e-04,0.00089175
-3.024e-04,0.000607312
-3.021e-04,0.000607312
-3.018e-04,0.000607312
-3.014e-04,0.00102244
-3.011e-04,0.0006765
-3.008e-04,0.000968625
-3.005e-04,0.000684187
-3.002e-04,0.000753375
-2.998e-04,0.000607312
-2.995e-04,0.00095325
-2.992e-04,0.000784125
-2.989e-04,0.000884062
-2.986e-04,0.000884062
-2.982e-04,0.000791812
-2.979e-04,0.000884062
-2.976e-04,0.00083025
-2.973e-04,0.000745687
-2.970e-04,0.000791812
-2.966e-04,0.000884062
-2.963e-04,0.000730312
-2.960e-04,0.000884062
-2.957e-04,0.00102244
-2.954e-04,0.0010455
-2.950e-04,0.000999375
-2.947e-04,0.000868687
-2.944e-04,0.00089175
-2.941e-04,0.00127612
-2.938e-04,0.000999375
-2.934e-04,0.00101475
-2.931e-04,0.000730312
-2.928e-04,0.000653437
-2.925e-04,0.000884062
-2.922e-04,0.000538125
-2.918e-04,0.000722625
-2.915e-04,0.000722625
-2.912e-04,0.000668812
-2.909e-04,0.0009225
-2.906e-04,0.000661125
-2.902e-04,0.000738
-2.899e-04,0.0005535
-2.896e-04,0.000607312
-2.893e-04,0.000699562
-2.890e-04,0.000914812
-2.886e-04,0.000668812
-2.883e-04,0.00095325
-2.880e-04,0.000822562
-2.877e-04,0.000607312
-2.874e-04,0.000999375
-2.870e-04,0.000861
-2.867e-04,0.000714937
-2.864e-04,0.000484312
-2.861e-04,0.000684187
-2.858e-04,0.000968625
-2.854e-04,0.0006765
-2.851e-04,0.00070725
-2.848e-04,0.000776437
-2.845e-04,0.000684187
-2.842e-04,0.000515062
-2.838e-04,0.000653437
-2.835e-04,0.00109931
-2.832e-04,0.000722625
-2.829e-04,0.00128381
-2.826e-04,0.000791812
-2.822e-04,0.000868687
-2.819e-04,0.000884062
-2.816e-04,0.000691875
-2.813e-04,0.00083025
-2.810e-04,0.000653437
-2.806e-04,0.000714937
-2.803e-04,0.000907125
-2.800e-04,0.00064575
-2.797e-04,0.000730312
-2.794e-04,0.000914812
-2.790e-04,0.00101475
-2.787e-04,0.000991687
-2.784e-04,0.000960937
-2.781e-04,0.000960937
-2.778e-04,0.000899437
-2.774e-04,0.00101475
-2.771e-04,0.000776437
-2.768e-04,0.0006765
-2.765e-04,0.000638062
-2.762e-04,0.000699562
-2.758e-04,0.000714937
-2.755e-04,0.00109931
-2.752e-04,0.000691875
-2.749e-04,0.000876375
-2.746e-04,0.000668812
-2.742e-04,0.000745687
-2.739e-04,0.000807187
-2.736e-04,0.000668812
-2.733e-04,0.000661125
-2.730e-04,0.000899437
-2.726e-04,0.000761062
-2.723e-04,0.00095325
-2.720e-04,0.0005535
-2.717e-04,0.00106856
-2.714e-04,0.00064575
-2.710e-04,0.000607312
-2.707e-04,0.000745687
-2.704e-04,0.000761062
-2.701e-04,0.000722625
-2.698e-04,0.00070725
-2.694e-04,0.000699562
-2.691e-04,0.000776437
-2.688e-04,0.000753375
-2.685e-04,0.000899437
-2.682e-04,0.000914812
-2.678e-04,0.000784125
-2.675e-04,0.000930187
-2.672e-04,0.000807187
-2.669e-04,0.000899437
-2.666e-04,0.000722625
-2.662e-04,0.000545812
-2.659e-04,0.000930187
-2.656e-04,0.000899437
-2.653e-04,0.000753375
-2.650e-04,0.000761062
-2.646e-04,0.00100706
-2.643e-04,0.000599625
-2.640e-04,0.000807187
-2.637e-04,0.000745687
-2.634e-04,0.000699562
-2.630e-04,0.000914812
-2.627e-04,0.000937875
-2.624e-04,0.00102244
-2.621e-04,0.000607312
-2.618e-04,0.00070725
-2.614e-04,0.000753375
-2.611e-04,0.000960937
-2.608e-04,0.000699562
-2.605e-04,0.000761062
-2.602e-04,0.000545812
-2.598e-04,0.000807187
-2.595e-04,0.000730312
-2.592e-04,0.000476625
-2.589e-04,0.000945562
-2.586e-04,0.000784125
-2.582e-04,0.000876375
-2.579e-04,0.00076875
-2.576e-04,0.00103012
-2.573e-04,0.000630375
-2.570e-04,0.000807187
-2.566e-04,0.000899437
-2.563e-04,0.000960937
-2.560e-04,0.00116081
-2.557e-04,0.000722625
-2.554e-04,0.000945562
-2.550e-04,0.00076875
-2.547e-04,0.000722625
-2.544e-04,0.000937875
-2.541e-04,0.000999375
-2.538e-04,0.0009225
-2.534e-04,0.000868687
-2.531e-04,0.00083025
-2.528e-04,0.000822562
-2.525e-04,0.000907125
-2.522e-04,0.000699562
-2.518e-04,0.0010455
-2.515e-04,0.000699562
-2.512e-04,0.000791812
-2.509e-04,0.000630375
-2.506e-04,0.000837937
-2.502e-04,0.000791812
-2.499e-04,0.000730312
-2.496e-04,0.000937875
-2.493e-04,0.000776437
-2.490e-04,0.0009225
-2.486e-04,0.000999375
-2.483e-04,0.000691875
-2.480e-04,0.000776437
-2.477e-04,0.000814875
-2.474e-04,0.000837937
-2.470e-04,0.000807187
-2.467e-04,0.000914812
-2.464e-04,0.000607312
-2.461e-04,0.000730312
-2.458e-04,0.000661125
-2.454e-04,0.000714937
-2.451e-04,0.000776437
-2.448e-04,0.000853312
-2.445e-04,0.00103012
-2.442e-04,0.000914812
-2.438e-04,0.0009225
-2.435e-04,0.000784125
-2.432e-04,0.000853312
-2.429e-04,0.000668812
-2.426e-04,0.000976312
-2.422e-04,0.000837937
-2.419e-04,0.000914812
-2.416e-04,0.000899437
-2.413e-04,0.000730312
-2.410e-04,0.0007995
-2.406e-04,0.000868687
-2.403e-04,0.000914812
-2.400e-04,0.000653437
-2.397e-04,0.000807187
-2.394e-04,0.000930187
-2.390e-04,0.000684187
-2.387e-04,0.000960937
-2.384e-04,0.000791812
-2.381e-04,0.000691875
-2.378e-04,0.000722625
-2.374e-04,0.000668812
-2.371e-04,0.0009225
-2.368e-04,0.0010455
-2.365e-04,0.000814875
-2.362e-04,0.000638062
-2.358e-04,0.000907125
-2.355e-04,0.000914812
-2.352e-04,0.000791812
-2.349e-04,0.000807187
-2.346e-04,0.000791812
-2.342e-04,0.000699562
-2.339e-04,0.000661125
-2.336e-04,0.000784125
-2.333e-04,0.000722625
-2.330e-04,0.00070725
-2.326e-04,0.00064575
-2.323e-04,0.000837937
-2.320e-04,0.000699562
-2.317e-04,0.000730312
-2.314e-04,0.000738
-2.310e-04,0.000691875
-2.307e-04,0.000853312
-2.304e-04,0.000607312
-2.301e-04,0.000745687
-2.298e-04,0.000968625
-2.294e-04,0.000791812
-2.291e-04,0.000876375
-2.288e-04,0.000761062
-2.285e-04,0.00076875
-2.282e-04,0.000714937
-2.278e-04,0.000822562
-2.275e-04,0.00076875
-2.272e-04,0.000607312
-2.269e-04,0.000653437
-2.266e-04,0.000822562
-2.262e-04,0.000814875
-2.259e-04,0.000914812
-2.256e-04,0.000722625
-2.253e-04,0.000738
-2.250e-04,0.000714937
-2.246e-04,0.000668812
-2.243e-04,0.000776437
-2.240e-04,0.000714937
-2.237e-04,0.000945562
-2.234e-04,0.000545812
-2.230e-04,0.000868687
-2.227e-04,0.000784125
-2.224e-04,0.000607312
-2.221e-04,0.000699562
-2.218e-04,0.000714937
-2.214e-04,0.000753375
-2.211e-04,0.0006765
-2.208e-04,0.000661125
-2.205e-04,0.000714937
-2.202e-04,0.000807187
-2.198e-04,0.000738
-2.195e-04,0.000984
-2.192e-04,0.000714937
-2.189e-04,0.000653437
-2.186e-04,0.000638062
-2.182e-04,0.000807187
-2.179e-04,0.000684187
-2.176e-04,0.000699562
-2.173e-04,0.000791812
-2.170e-04,0.000722625
-2.166e-04,0.000999375
-2.163e-04,0.000853312
-2.160e-04,0.000861
-2.157e-04,0.00076875
