Distance_(pixels),Gray_Value
0,3.0064
1,3.1667
2,3.2115
3,3.3077
4,3.3974
5,3.5064
6,3.6859
7,3.8141
8,3.8590
9,4.0769
10,4.2500
11,4.4679
12,4.5513
13,4.8141
14,5.0000
15,5.0833
16,5.2885
17,5.5513
18,5.8397
19,6.1603
20,6.4103
21,6.6731
22,6.9744
23,7.0897
24,7.5577
25,7.8590
26,8.2564
27,8.4487
28,8.7949
29,9.1410
30,9.5513
31,9.8141
32,10.2051
33,10.4615
34,10.8141
35,10.9679
36,11.1218
37,11.3782
38,11.4551
39,11.7244
40,11.6538
41,11.7628
42,11.8782
43,11.7115
44,11.7115
45,11.7115
46,11.4487
47,11.2692
48,11.1090
49,11.0705
50,10.9167
51,10.8013
52,10.5449
53,10.6795
54,10.4103
55,10.3590
56,10.3526
57,10.2949
58,10.2692
59,10.3782
60,10.3077
61,10.4423
62,10.6474
63,10.7949
64,10.6346
65,10.8333
66,11.0449
67,11.2628
68,11.2372
69,11.4487
70,11.3205
71,11.3974
72,11.3397
73,11.2436
74,11.4167
75,11.3333
76,11.1667
77,10.8974
78,10.5513
79,10.3397
80,10.1154
81,9.8397
82,9.5449
83,8.9551
84,8.6026
85,8.2949
86,7.8077
87,7.4679
88,7.1090
89,6.7692
90,6.4167
91,6.1090
92,5.6538
93,5.5192
94,5.1474
95,4.9103
96,4.7885
97,4.5321
98,4.3205
99,4.2500
100,4.1026
101,3.8718
102,3.8077
103,3.6603
104,3.4872
105,3.3269
106,3.2628
107,3.2949
108,3.0641
109,2.9295
110,2.8846
111,2.8526
112,2.6603
113,2.7564
114,2.6282
115,2.5513
116,2.5449
117,2.5449
118,2.3974
119,2.3910
120,2.3718
121,2.2821
122,2.2372
123,2.2628
124,2.1987
125,2.1859
126,2.1346
127,2.2500
128,2.1282
129,2.1090
130,2.0000
131,2.0705
132,2.0064
133,2.0641
134,1.9872
135,1.9808
136,2.0192
137,2.0577
138,1.9487
139,2.0321
140,2.0256
141,2.0064
142,1.9808
143,1.9808
144,1.9423
145,1.9744
146,1.9167
147,2.0256
148,1.9744
149,1.9808
150,1.8974
151,1.8782
152,1.9295
153,1.9808
154,2.0385
155,2.0577
156,1.9231
157,2.0513
158,2.1923
159,2.1090
160,2.0641
161,2.1218
162,2.0962
163,2.1090
164,2.1026
165,2.2372
166,2.1731
167,2.2885
168,2.2885
169,2.2949
170,2.2051
171,2.3397
172,2.3654
173,2.3910
174,2.4038
175,2.4936
176,2.4872
177,2.6026
178,2.6282
179,2.6731
180,2.7051
181,2.7756
182,2.8205
183,2.8718
184,2.9038
185,3.0513
186,3.0064
187,3.2628
188,3.1218
189,3.4167
190,3.4487
191,3.4551
192,3.5833
193,3.6090
194,3.8462
195,3.8846
196,3.9936
197,4.1731
198,4.3333
199,4.4744
200,4.6667
201,4.8397
202,4.9936
203,5.2372
204,5.2821
205,5.6218
206,5.8590
207,6.1795
208,6.2756
209,6.5385
210,6.8397
211,7.1987
212,7.4551
213,7.8590
214,8.0577
215,8.6346
216,8.9551
217,9.3077
218,9.6731
219,10.1218
220,10.4808
221,10.8590
222,11.3333
223,11.6090
224,11.9744
225,12.2564
226,12.8654
227,13.0705
228,13.3269
229,13.5833
230,13.7308
231,14.1282
232,14.0897
233,14.1474
234,14.2372
235,14.3077
236,14.2179
237,14.1795
238,14.0385
239,14.0833
240,13.7500
241,13.6026
242,13.3782
243,13.3013
244,13.2115
245,13.0256
246,12.5769
247,12.6474
248,12.6603
249,12.4551
250,12.3077
251,12.4103
252,12.4167
253,12.6090
254,12.4423
255,12.6667
256,12.8269
257,13.0641
258,13.1026
259,13.2885
260,13.5769
261,13.5064
262,13.5705
263,13.6026
264,13.7692
265,13.8013
266,13.7179
267,13.6987
268,13.6026
269,13.3526
270,13.0513
271,12.8782
272,12.6859
273,12.3462
274,11.9615
275,11.4423
276,11.0769
277,10.6731
278,10.0513
279,9.6859
280,9.1731
281,8.6859
282,8.2051
283,7.6923
284,7.3462
285,7.0641
286,6.6474
287,6.4679
288,6.1282
289,5.9038
290,5.6026
291,5.3910
292,5.2179
293,4.8974
294,4.7051
295,4.6474
296,4.4038
297,4.3590
298,4.0705
299,4.0449
300,3.9231
301,3.8077
302,3.5513
303,3.5897
304,3.3718
305,3.3013
306,3.2628
307,3.1410
308,3.1090
309,3.0962
310,2.9808
311,2.9103
312,2.8397
313,2.8269
314,2.8526
315,2.7949
316,2.6987
317,2.6218
318,2.5769
319,2.5577
320,2.5577
321,2.5513
322,2.5321
323,2.4423
324,2.4103
325,2.4231
326,2.3590
327,2.3654
328,2.3397
329,2.3590
330,2.2500
331,2.3526
332,2.3397
333,2.3141
334,2.3077
335,2.3526
336,2.2115
337,2.2115
338,2.2308
339,2.2372
340,2.3141
341,2.2692
342,2.2756
343,2.2179
344,2.2949
345,2.2564
346,2.3013
347,2.2692
348,2.3013
349,2.2436
350,2.3269
351,2.3397
352,2.4038
353,2.3526
354,2.4231
355,2.3141
356,2.3397
357,2.4615
358,2.3782
359,2.4808
360,2.5192
361,2.4679
362,2.6218
363,2.5962
364,2.6154
365,2.6218
366,2.6603
367,2.7308
368,2.7821
369,2.8397
370,2.9744
371,2.9103
372,2.9167
373,3.0128
374,2.9744
375,3.0449
376,3.1731
377,3.2628
378,3.3141
379,3.4615
380,3.5000
381,3.6346
382,3.7308
383,3.6987
384,3.7885
385,3.9808
386,4.0064
387,4.1154
388,4.2949
389,4.5000
390,4.6346
391,4.7692
392,4.9359
393,5.0705
394,5.2628
395,5.5000
396,5.6346
397,5.8205
398,6.1538
399,6.3397
400,6.6090
401,6.8141
402,7.0897
403,7.5385
404,7.7051
405,8.1538
406,8.5769
407,8.9551
408,9.2692
409,9.8077
410,10.0962
411,10.5769
412,11.0256
413,11.5513
414,11.8910
415,12.4615
416,12.9936
417,13.5000
418,13.9487
419,14.3141
420,14.7821
421,15.1218
422,15.4167
423,15.8718
424,15.9872
425,16.5385
426,16.4744
427,16.6603
428,16.7821
429,16.8269
430,17.1346
431,17.0897
432,16.7308
433,16.5513
434,16.4551
435,16.2885
436,16.2628
437,15.9615
438,15.7179
439,15.4936
440,15.3205
441,15.2949
442,14.9167
443,14.8718
444,14.9295
445,14.8974
446,14.8718
447,14.8910
448,14.9167
449,15.0705
450,15.3269
451,15.4103
452,15.5128
453,15.7436
454,15.9936
455,16.1667
456,16.3846
457,16.3462
458,16.4359
459,16.6026
460,16.5833
461,16.5897
462,16.4295
463,16.3333
464,16.0128
465,15.8462
466,15.5833
467,15.0641
468,14.7949
469,14.4551
470,13.8526
471,13.4487
472,12.9679
473,12.4808
474,11.8718
475,11.2628
476,10.7179
477,10.1731
478,9.7436
479,9.3013
480,8.6218
481,8.4808
482,7.9038
483,7.6987
484,7.3205
485,7.0641
486,6.7308
487,6.4295
488,6.2372
489,6.0192
490,5.8077
491,5.6731
492,5.4615
493,5.2692
494,5.0641
495,4.9487
496,4.7115
497,4.7244
498,4.5000
499,4.4038
500,4.2564
501,4.1346
502,4.0769
503,3.9936
504,3.9103
505,3.9295
506,3.8141
507,3.6923
508,3.4936
509,3.6410
510,3.5897
511,3.4038
512,3.4679
513,3.4167
514,3.3526
515,3.3590
516,3.2628
517,3.2564
518,3.3141
519,3.1603
520,3.0962
521,3.0192
522,3.1026
523,3.0064
524,2.9359
525,3.0256
526,3.0192
527,2.9359
528,2.8974
529,2.8590
530,2.9423
531,2.9936
532,2.9103
533,2.9295
534,2.8590
535,2.8654
536,2.8782
537,2.9551
538,2.8397
539,2.8782
540,2.8718
541,2.8526
542,2.8462
543,2.9359
544,2.9038
545,2.8782
546,2.7756
547,2.9744
548,2.7949
549,2.9872
550,2.9038
551,3.0000
552,2.9487
553,2.9744
554,3.0449
555,3.1090
556,3.1667
557,3.0833
558,3.1218
559,3.2372
560,3.2372
561,3.2436
562,3.2885
563,3.2821
564,3.4423
565,3.4423
566,3.4936
567,3.6154
568,3.5962
569,3.6795
570,3.8077
571,3.7244
572,3.8974
573,3.9423
574,3.9872
575,4.1346
576,4.1859
577,4.3654
578,4.3846
579,4.4231
580,4.5705
581,4.8077
582,4.7756
583,4.9359
584,5.1218
585,5.2244
586,5.4359
587,5.5256
588,5.8141
589,5.8718
590,6.1410
591,6.3782
592,6.5833
593,6.8269
594,6.9615
595,7.2500
596,7.5321
597,7.9359
598,8.2372
599,8.5192
600,8.9231
601,9.2628
602,9.6474
603,10.1731
604,10.6026
605,11.0513
606,11.4359
607,12.0256
608,12.3462
609,12.9551
610,13.4167
611,14.0192
612,14.4808
613,15.2372
614,15.6026
615,16.1667
616,16.5513
617,17.0833
618,17.5000
619,17.9936
620,18.2821
621,18.7885
622,18.8462
623,19.3782
624,19.3974
625,19.3269
626,19.3333
627,19.4423
628,19.2885
629,19.0641
630,18.8654
631,18.7308
632,18.5064
633,18.2500
634,18.0577
635,17.7308
636,17.5897
637,17.3526
638,17.2692
639,17.2372
640,16.9615
641,16.9551
642,16.8141
643,16.9744
644,16.7821
645,17.0064
646,17.1282
647,17.4936
648,17.5385
649,17.6923
650,17.8846
651,17.9551
652,18.1795
653,18.4359
654,18.4038
655,18.6923
656,18.5897
657,18.6538
658,18.5641
659,18.4103
660,18.1154
661,18.1923
662,17.6923
663,17.3910
664,16.9487
665,16.4808
666,16.1795
667,15.7308
668,15.1987
669,14.4359
670,13.9038
671,13.3013
672,12.4487
673,12.0641
674,11.4744
675,10.8910
676,10.3397
677,10.0577
678,9.4038
679,8.9808
680,8.6987
681,8.2436
682,7.8462
683,7.4615
684,7.3590
685,7.1603
686,6.6667
687,6.6474
688,6.3205
689,6.1218
690,5.8462
691,5.8333
692,5.6859
693,5.4744
694,5.2692
695,5.1218
696,5.0833
697,4.9615
698,4.8590
699,4.6346
700,4.5256
701,4.5128
702,4.3077
703,4.2885
704,4.1090
705,4.0897
706,4.1218
707,4.0256
708,4.0321
709,4.0321
710,3.8782
711,3.7885
712,3.7692
713,3.7051
714,3.6987
715,3.6923
716,3.6603
717,3.5962
718,3.6410
719,3.5513
720,3.5321
721,3.4872
722,3.4359
723,3.4872
724,3.4936
725,3.4359
726,3.3782
727,3.4936
728,3.2885
729,3.3846
730,3.3526
731,3.4038
732,3.3205
