Distance_(pixels),Gray_Value
0,3.4130
1,3.5290
2,3.6087
3,3.7681
4,3.8043
5,3.9783
6,4.1449
7,4.2899
8,4.5145
9,4.6449
10,4.8043
11,4.9420
12,5.1884
13,5.3406
14,5.5580
15,6.0580
16,6.2391
17,6.3841
18,6.7391
19,7.1594
20,7.4203
21,7.8406
22,8.1667
23,8.6812
24,9.0435
25,9.5797
26,9.9275
27,10.3696
28,10.8841
29,11.1087
30,11.4855
31,11.9783
32,12.2681
33,12.6594
34,13.0072
35,13.3986
36,13.7464
37,14.1594
38,14.1449
39,14.4783
40,14.3913
41,14.4783
42,14.3188
43,14.2029
44,13.9348
45,13.8478
46,13.5652
47,13.2391
48,12.7971
49,12.4493
50,12.0145
51,11.4855
52,11.0072
53,10.6739
54,10.1957
55,9.8841
56,9.5000
57,9.0290
58,8.8333
59,8.5145
60,8.2536
61,8.2246
62,7.7681
63,7.5870
64,7.4710
65,7.4348
66,7.1667
67,7.1449
68,7.0870
69,6.9130
70,7.0507
71,6.9565
72,6.9275
73,6.9710
74,7.0217
75,7.0942
76,7.0000
77,7.1159
78,7.1522
79,7.0942
80,7.2174
81,7.3116
82,7.4710
83,7.5290
84,7.5652
85,7.7609
86,7.8986
87,8.1087
88,8.3478
89,8.5870
90,8.7899
91,9.1014
92,9.3623
93,9.6812
94,9.9420
95,10.3623
96,10.6377
97,11.0507
98,11.3043
99,11.7464
100,12.1739
101,12.6594
102,13.1014
103,13.3913
104,13.6232
105,13.9710
106,14.2899
107,14.5362
108,14.5725
109,14.7174
110,15.0725
111,15.0217
112,14.9058
113,14.6884
114,14.5652
115,14.3333
116,13.9710
117,13.6957
118,13.1739
119,12.8623
120,12.4275
121,11.8478
122,11.2464
123,10.7029
124,10.1812
125,9.7899
126,9.1449
127,8.8116
128,8.2609
129,7.6812
130,7.3623
131,6.9058
132,6.6449
133,6.2681
134,5.9783
135,5.5942
136,5.4565
137,5.2029
138,5.0000
139,4.8768
140,4.5435
141,4.4130
142,4.2681
143,4.1377
144,4.0435
145,3.8913
146,3.8261
147,3.8623
148,3.6014
149,3.4203
150,3.3261
151,3.3406
152,3.2826
153,3.2971
154,3.0870
155,3.1304
156,2.9710
157,3.0507
158,3.0652
159,2.9783
160,2.9928
161,2.9420
162,2.9565
163,2.9058
164,2.8696
165,2.8913
166,2.9420
167,2.9420
168,2.7826
169,2.9493
170,2.9348
171,2.8623
172,2.9783
173,3.0000
174,2.9565
175,2.9638
176,3.0652
177,3.0072
178,3.1014
179,3.2246
180,3.2464
181,3.2029
182,3.1667
183,3.3478
184,3.4203
185,3.6304
186,3.6739
187,3.7246
188,3.7174
189,3.8913
190,3.9348
191,4.0435
192,4.1739
193,4.4348
194,4.3841
195,4.5000
196,4.6159
197,4.7609
198,5.1159
199,5.1377
200,5.3623
201,5.4710
202,5.8696
203,6.1232
204,6.2754
205,6.7101
206,6.9493
207,7.1304
208,7.3406
209,7.7826
210,8.0725
211,8.6377
212,8.9348
213,9.4565
214,9.8116
215,10.3043
216,10.8478
217,11.3551
218,11.7899
219,12.3623
220,12.9275
221,13.5072
222,13.9783
223,14.5145
224,14.8986
225,15.4420
226,15.7246
227,16.3333
228,16.6014
229,17.0000
230,17.2101
231,17.2681
232,17.2681
233,17.4855
234,17.5290
235,17.4565
236,17.4638
237,16.9130
238,16.7391
239,16.4493
240,16.0072
241,15.5580
242,14.8551
243,14.5072
244,13.9565
245,13.3696
246,12.9565
247,12.3913
248,11.8406
249,11.4638
250,10.9710
251,10.5942
252,10.2826
253,9.7899
254,9.6159
255,9.4783
256,9.1884
257,9.0580
258,8.9203
259,8.7609
260,8.7536
261,8.8623
262,8.7464
263,8.6159
264,8.5652
265,8.4565
266,8.5290
267,8.7101
268,8.5580
269,8.5145
270,8.6667
271,8.8551
272,8.7681
273,8.8986
274,9.0072
275,9.1667
276,9.3043
277,9.3913
278,9.5362
279,9.7319
280,9.9130
281,10.1159
282,10.1014
283,10.5725
284,10.9130
285,11.2391
286,11.6884
287,12.0942
288,12.6087
289,12.8986
290,13.3841
291,13.6884
292,14.1957
293,14.6884
294,14.9928
295,15.5725
296,15.9275
297,16.5580
298,16.8261
299,17.0580
300,17.3333
301,17.6232
302,17.7391
303,18.1957
304,17.8986
305,18.0362
306,17.7029
307,17.5217
308,17.5725
309,17.2391
310,16.5797
311,16.1739
312,15.6884
313,15.1304
314,14.4420
315,13.8696
316,13.1304
317,12.6087
318,11.8188
319,11.3913
320,10.6377
321,10.1594
322,9.6377
323,9.0870
324,8.5290
325,8.2174
326,7.7246
327,7.3986
328,7.0145
329,6.6957
330,6.3841
331,6.1014
332,6.0217
333,5.7174
334,5.4928
335,5.3043
336,5.1957
337,5.0362
338,4.7899
339,4.6304
340,4.4928
341,4.3768
342,4.3986
343,4.2174
344,4.0870
345,4.1087
346,3.9783
347,3.9638
348,3.8551
349,3.7681
350,3.7246
351,3.7464
352,3.6014
353,3.6377
354,3.5942
355,3.5145
356,3.4420
357,3.6087
358,3.4855
359,3.5580
360,3.4275
361,3.5580
362,3.5000
363,3.6377
364,3.5217
365,3.5797
366,3.5072
367,3.5725
368,3.6087
369,3.6739
370,3.7029
371,3.8188
372,3.8551
373,3.8116
374,3.7971
375,3.9275
376,4.0362
377,4.0870
378,4.0507
379,4.2464
380,4.2681
381,4.4203
382,4.4493
383,4.6087
384,4.6377
385,4.7536
386,4.8913
387,5.1739
388,5.2826
389,5.4638
390,5.5145
391,5.7464
392,5.9710
393,6.1159
394,6.3841
395,6.6377
396,6.7971
397,7.1232
398,7.3986
399,7.7029
400,7.8913
401,8.2971
402,8.7391
403,9.1087
404,9.4348
405,9.9203
406,10.4565
407,11.0362
408,11.4348
409,11.9638
410,12.5072
411,13.2391
412,13.9058
413,14.4058
414,14.9420
415,15.4348
416,16.1232
417,16.9638
418,17.3841
419,17.9493
420,18.6087
421,18.9710
422,19.5290
423,19.9420
424,20.3116
425,20.5507
426,20.6449
427,20.6667
428,20.7681
429,20.8261
430,20.5797
431,20.4420
432,20.0435
433,19.9275
434,19.4783
435,18.9348
436,18.1377
437,17.7681
438,16.9783
439,16.4783
440,15.7536
441,15.0435
442,14.5145
443,13.9130
444,13.6159
445,12.9130
446,12.6014
447,12.2826
448,11.6377
449,11.6304
450,11.2319
451,10.9638
452,10.7681
453,10.6812
454,10.5072
455,10.4203
456,10.3261
457,10.2971
458,10.2101
459,10.1377
460,10.0870
461,10.2391
462,10.3188
463,10.3116
464,10.1014
465,10.3696
466,10.2899
467,10.5217
468,10.6014
469,10.7391
470,10.8261
471,10.9130
472,11.1304
473,11.5580
474,11.6522
475,11.6449
476,12.0870
477,12.2899
478,12.4710
479,13.0507
480,13.4855
481,13.6377
482,14.1667
483,14.6522
484,15.3406
485,15.8116
486,16.2609
487,16.9058
488,17.4638
489,18.1812
490,18.7319
491,19.1667
492,19.4928
493,19.8261
494,20.4710
495,20.3406
496,20.9058
497,21.0580
498,21.2029
499,21.3696
500,21.2101
501,21.1884
502,21.0870
503,20.6087
504,20.5870
505,20.0435
506,19.3623
507,19.0145
508,18.0580
509,17.5072
510,16.8043
511,16.1087
512,15.4420
513,14.5580
514,13.8406
515,13.2246
516,12.3623
517,11.8551
518,11.1594
519,10.8043
520,10.1304
521,9.8188
522,9.1739
523,8.9420
524,8.4638
525,8.2319
526,7.8478
527,7.5507
528,7.3116
529,7.0507
530,6.7246
531,6.5000
532,6.3261
533,6.1522
534,6.0000
535,5.8551
536,5.6087
537,5.5942
538,5.3696
539,5.3116
540,5.2101
541,5.1594
542,5.0435
543,4.9348
544,4.8913
545,4.7971
546,4.8478
547,4.7029
548,4.6667
549,4.5797
550,4.6159
551,4.5507
552,4.4638
553,4.4783
554,4.4348
555,4.5000
556,4.4855
557,4.5435
558,4.3841
559,4.4638
560,4.5072
561,4.5652
562,4.5217
563,4.6304
564,4.4855
565,4.6014
566,4.5870
567,4.7754
568,4.7391
569,4.8116
570,4.7754
571,4.9275
572,4.9493
573,5.0797
574,5.0870
575,5.1957
576,5.1159
577,5.4203
578,5.4638
579,5.5507
580,5.6304
581,5.9203
582,5.9058
583,6.0580
584,6.2101
585,6.4783
586,6.4638
