Distance_(pixels),Gray_Value
0,0.1319
1,0.1667
2,0.1458
3,0.2014
4,0.2153
5,0.1944
6,0.2014
7,0.2708
8,0.2569
9,0.2778
10,0.3194
11,0.2708
12,0.3125
13,0.4028
14,0.3819
15,0.4097
16,0.3611
17,0.4444
18,0.4514
19,0.4722
20,0.5486
21,0.5625
22,0.5903
23,0.6389
24,0.6528
25,0.6806
26,0.7222
27,0.7778
28,0.7986
29,0.8681
30,0.9653
31,0.9722
32,1.0972
33,1.1458
34,1.1944
35,1.2708
36,1.3958
37,1.4583
38,1.5625
39,1.6528
40,1.7569
41,1.8681
42,1.9514
43,1.9931
44,2.1667
45,2.3403
46,2.4236
47,2.4792
48,2.6667
49,2.7222
50,2.8611
51,2.9375
52,3.0208
53,3.0556
54,3.0764
55,3.1181
56,3.0972
57,3.1319
58,3.2431
59,3.1597
60,3.0764
61,3.0069
62,2.8750
63,2.9167
64,2.7153
65,2.6042
66,2.5208
67,2.3958
68,2.1944
69,2.0625
70,1.9861
71,1.8611
72,1.7569
73,1.6111
74,1.5417
75,1.4375
76,1.3264
77,1.2708
78,1.1458
79,1.0625
80,1.0000
81,0.9653
82,0.8333
83,0.8333
84,0.7361
85,0.7361
86,0.6667
87,0.6458
88,0.5903
89,0.5347
90,0.4583
91,0.4931
92,0.4514
93,0.4861
94,0.4167
95,0.3611
96,0.3542
97,0.2986
98,0.3264
99,0.2708
100,0.3194
101,0.2500
102,0.2500
103,0.2708
104,0.1944
105,0.2153
106,0.1875
107,0.1806
108,0.1458
109,0.1389
110,0.1250
111,0.1042
112,0.1250
113,0.1389
114,0.1250
115,0.1111
116,0.0903
117,0.0903
118,0.0347
119,0.0486
120,0.0972
121,0.1250
122,0.0833
123,0.0556
124,0.0694
125,0.0764
126,0.0417
127,0.0278
128,0.0417
129,0.0278
130,0.0069
131,0.0069
132,0.0208
133,0.0208
134,0.0069
135,0.0069
136,0.0069
137,0.0347
138,0.0347
139,0.0069
140,0.0347
141,0.0208
142,0.0347
143,0.0000
144,0.0139
145,0.0000
146,0.0139
147,0.0208
148,0.0069
149,0.0069
150,0.0069
151,0.0069
152,0.0139
153,0.0208
154,0.0278
155,0.0069
156,0.0278
157,0.0139
158,0.0208
159,0.0139
160,0.0139
161,0.0347
162,0.0278
163,0.0139
164,0.0486
165,0.0278
166,0.0208
167,0.0486
168,0.0347
169,0.0278
170,0.0278
171,0.0278
172,0.0486
173,0.0417
174,0.0694
175,0.0903
176,0.0486
177,0.0625
178,0.0417
179,0.0833
180,0.0764
181,0.1111
182,0.1111
183,0.0972
184,0.1528
185,0.1319
186,0.1181
187,0.1528
188,0.1667
189,0.1597
190,0.1597
191,0.1667
192,0.2431
193,0.2153
194,0.2153
195,0.2361
196,0.2222
197,0.2917
198,0.2847
199,0.3403
200,0.2917
201,0.3889
202,0.3194
203,0.3958
204,0.4236
205,0.3681
206,0.4236
207,0.4583
208,0.4861
209,0.4931
210,0.5347
211,0.5764
212,0.5556
213,0.6389
214,0.6736
215,0.7292
216,0.7986
217,0.8264
218,0.8403
219,0.8403
220,0.9583
221,1.0486
222,1.1042
223,1.1181
224,1.2292
225,1.3125
226,1.3194
227,1.4722
228,1.5069
229,1.6667
230,1.7917
231,1.9306
232,2.0208
233,2.1319
234,2.1875
235,2.3333
236,2.4514
237,2.6597
238,2.7431
239,2.9028
240,3.0278
241,3.1944
242,3.3056
243,3.4167
244,3.4931
245,3.5486
246,3.7569
247,3.7847
248,3.7708
249,3.8542
250,3.9167
251,3.9375
252,3.9097
253,3.9097
254,3.7153
255,3.6111
256,3.6042
257,3.5833
258,3.4375
259,3.2292
260,3.0625
261,2.8750
262,2.7292
263,2.5694
264,2.4306
265,2.3542
266,2.2431
267,1.9722
268,1.9306
269,1.7431
270,1.6944
271,1.5625
272,1.4306
273,1.3819
274,1.2431
275,1.2292
276,1.1250
277,1.0764
278,1.0625
279,0.9306
280,0.8681
281,0.8611
282,0.7778
283,0.7014
284,0.6736
285,0.6806
286,0.6250
287,0.6042
288,0.5347
289,0.5347
290,0.4653
291,0.4514
292,0.4306
293,0.3889
294,0.4028
295,0.3889
296,0.3611
297,0.3542
298,0.2778
299,0.2569
300,0.2917
301,0.2708
302,0.2847
303,0.2292
304,0.2083
305,0.2361
306,0.2083
307,0.2153
308,0.1875
309,0.2083
310,0.1319
311,0.1667
312,0.1528
313,0.1528
314,0.1250
315,0.1736
316,0.1181
317,0.1111
318,0.1319
319,0.0903
320,0.0833
321,0.1250
322,0.0903
323,0.0972
324,0.0972
325,0.0556
326,0.0556
327,0.0833
328,0.1111
329,0.0694
330,0.0972
331,0.0833
332,0.0486
333,0.0486
334,0.0694
335,0.0347
336,0.0486
337,0.0486
338,0.0694
339,0.0347
340,0.0486
341,0.0347
342,0.0486
343,0.0347
344,0.0347
345,0.0278
346,0.0694
347,0.0208
348,0.0347
349,0.0347
350,0.0486
351,0.0556
352,0.0556
353,0.0417
354,0.0694
355,0.0764
356,0.0486
357,0.0833
358,0.0556
359,0.0625
360,0.0625
361,0.0764
362,0.0764
363,0.0903
364,0.0694
365,0.0972
366,0.0903
367,0.0833
368,0.1042
369,0.0694
370,0.0833
371,0.1111
372,0.1528
373,0.1667
374,0.1528
375,0.2014
376,0.1736
377,0.1806
378,0.1458
379,0.1667
380,0.2431
381,0.2153
382,0.2361
383,0.2569
384,0.2639
385,0.2986
386,0.2917
387,0.2708
388,0.2500
389,0.3264
390,0.3472
391,0.2986
392,0.3194
393,0.3889
394,0.3958
395,0.4583
396,0.4722
397,0.4375
398,0.5000
399,0.5417
400,0.5625
401,0.5694
402,0.6319
403,0.6042
404,0.6250
405,0.6736
406,0.7014
407,0.7986
408,0.7778
409,0.8681
410,0.8750
411,0.9097
412,0.9653
413,1.0694
414,1.0972
415,1.2014
416,1.2639
417,1.3472
418,1.3889
419,1.5000
420,1.5556
421,1.6944
422,1.7917
423,1.8750
424,2.0069
425,2.0625
426,2.2917
427,2.3750
428,2.5417
429,2.6528
430,2.8542
431,2.9792
432,3.1111
433,3.2431
434,3.4931
435,3.6528
436,3.7083
437,3.9306
438,4.0347
439,4.2500
440,4.2986
441,4.4861
442,4.5417
443,4.5694
444,4.7292
445,4.8194
446,4.8333
447,4.7708
448,4.6181
449,4.6042
450,4.5347
451,4.5000
452,4.3194
453,4.2986
454,4.0278
455,3.9375
456,3.6458
457,3.4653
458,3.2917
459,3.0486
460,2.9306
461,2.7639
462,2.6944
463,2.4792
464,2.3472
465,2.1458
466,2.0764
467,1.9375
468,1.8194
469,1.6875
470,1.6111
471,1.5625
472,1.4722
473,1.3611
474,1.3056
475,1.2153
476,1.1528
477,1.0903
478,1.0347
479,0.9514
480,0.9167
481,0.8681
482,0.8125
483,0.7917
484,0.7292
485,0.7083
486,0.6875
487,0.6528
488,0.5694
489,0.5556
490,0.5347
491,0.5694
492,0.4931
493,0.4375
494,0.4792
495,0.4375
496,0.4375
497,0.4306
498,0.3681
499,0.3819
500,0.3889
501,0.3264
502,0.3681
503,0.3403
504,0.3194
505,0.3264
506,0.2778
507,0.2847
508,0.3125
509,0.2431
510,0.2500
511,0.2500
512,0.2361
513,0.1875
514,0.2222
515,0.2153
516,0.2014
517,0.2083
518,0.2361
519,0.1944
520,0.1944
521,0.1806
522,0.1528
523,0.1667
524,0.1528
525,0.1597
526,0.1667
527,0.1806
528,0.1528
529,0.1250
530,0.1389
531,0.1389
532,0.1250
533,0.1111
534,0.1528
535,0.1389
536,0.1042
537,0.1389
538,0.1597
539,0.1458
540,0.1597
541,0.1250
542,0.1042
543,0.1111
544,0.1111
545,0.1250
546,0.1111
547,0.1528
548,0.1389
549,0.1667
550,0.1597
551,0.1250
552,0.1389
553,0.1597
554,0.1111
555,0.1667
556,0.1250
557,0.1806
558,0.1875
559,0.1806
560,0.1458
561,0.2014
562,0.2292
563,0.1736
564,0.1944
565,0.2361
566,0.2222
567,0.2222
568,0.2222
569,0.2361
570,0.2153
571,0.2222
572,0.2222
573,0.2639
574,0.2847
575,0.2986
576,0.2778
577,0.2708
578,0.2708
579,0.3542
580,0.3472
581,0.3472
582,0.3542
583,0.3889
584,0.3889
585,0.4514
586,0.3889
587,0.4861
588,0.4861
589,0.5069
590,0.4583
591,0.5069
592,0.5486
593,0.5625
594,0.6250
595,0.6111
596,0.6597
597,0.6944
598,0.7153
599,0.7083
600,0.7778
601,0.7639
602,0.8403
603,0.8889
604,0.8611
605,0.9792
606,0.9931
607,1.0069
608,1.1528
609,1.1528
610,1.2014
611,1.2986
612,1.3750
613,1.4444
614,1.5069
615,1.5972
616,1.6875
617,1.8542
618,1.9375
619,1.9653
620,2.0417
621,2.2639
622,2.3750
623,2.4861
624,2.6319
625,2.8681
626,3.0278
627,3.1736
628,3.3681
629,3.4375
630,3.7083
631,3.8750
632,3.9653
633,4.1528
634,4.3611
635,4.5486
636,4.7014
637,4.8056
638,4.9236
639,5.1667
640,5.2014
641,5.3819
642,5.3611
643,5.3194
644,5.3472
645,5.2847
646,5.4444
647,5.1806
648,5.1389
649,5.0208
650,4.7778
651,4.6250
652,4.4653
653,4.2292
