Distance_(pixels),Gray_Value
0,9.2955
1,9.5682
2,9.8258
3,10.2273
4,10.6288
5,10.8182
6,11.3258
7,11.7500
8,12.2500
9,12.5606
10,13.1136
11,13.7348
12,14.2955
13,14.8636
14,15.3485
15,15.9167
16,16.5758
17,17.2273
18,18.0000
19,18.7576
20,19.3182
21,20.0682
22,20.4167
23,21.1970
24,21.6212
25,22.2879
26,22.5833
27,23.0455
28,23.4318
29,23.8712
30,23.6212
31,23.9091
32,23.9470
33,23.8182
34,23.8030
35,23.7045
36,23.1970
37,22.8333
38,22.3258
39,21.7273
40,21.1591
41,20.5379
42,20.1136
43,19.4242
44,18.8636
45,18.1742
46,17.5000
47,17.0606
48,16.5606
49,16.1364
50,15.6061
51,15.4773
52,15.2121
53,14.9394
54,15.0227
55,14.6970
56,14.5909
57,14.9015
58,14.5985
59,14.6818
60,14.5985
61,15.0000
62,14.8409
63,15.1288
64,15.3409
65,15.6818
66,15.9318
67,16.4242
68,16.7879
69,16.9545
70,17.3182
71,17.9545
72,18.3409
73,18.8636
74,19.1818
75,19.9848
76,20.4697
77,20.9015
78,21.5758
79,22.0076
80,22.5227
81,22.9545
82,23.3106
83,23.6136
84,24.0758
85,24.1212
86,24.0530
87,24.3182
88,24.0152
89,24.1061
90,23.9621
91,23.3561
92,23.0303
93,22.5379
94,21.9545
95,21.2879
96,20.5909
97,19.6439
98,19.1061
99,18.3864
100,17.6212
101,16.8106
102,15.9167
103,15.2879
104,14.5000
105,13.7045
106,12.9091
107,12.5455
108,12.1061
109,11.5530
110,10.9242
111,10.5985
112,10.3106
113,10.0076
114,9.5985
115,9.4167
116,9.0758
117,8.9167
118,8.6061
119,8.5000
120,8.1439
121,8.0682
122,7.8788
123,7.5379
124,7.4167
125,7.3258
126,7.1288
127,7.0379
128,6.9091
129,6.9697
130,6.6970
131,6.7576
132,6.5606
133,6.5000
134,6.3864
135,6.4394
136,6.3939
137,6.2424
138,6.3333
139,6.2727
140,6.0758
141,6.0985
142,6.1212
143,6.0303
144,6.0303
145,6.0152
146,6.1212
147,6.0000
148,6.0530
149,6.0985
150,6.0000
151,6.1742
152,6.0682
153,6.0530
154,6.0227
155,6.0530
156,6.0227
157,6.1212
158,6.1136
159,6.1742
160,6.1212
161,6.3030
162,6.3182
163,6.3409
164,6.3712
165,6.4242
166,6.5606
167,6.6591
168,6.6818
169,6.8030
170,6.7727
171,7.0833
172,6.9394
173,7.2197
174,7.1818
175,7.3409
176,7.4924
177,7.5227
178,7.6364
179,7.8939
180,8.0000
181,8.0909
182,8.2803
183,8.4545
184,8.6061
185,8.9242
186,9.0227
187,9.4318
188,9.5076
189,9.9091
190,10.1136
191,10.4242
192,10.7500
193,11.0833
194,11.4545
195,11.9242
196,12.3485
197,12.7045
198,12.9091
199,13.4621
200,14.0000
201,14.4848
202,15.3788
203,15.9924
204,16.2424
205,16.9848
206,17.7576
207,18.4242
208,19.2879
209,20.0000
210,20.7727
211,21.5152
212,22.5000
213,23.3258
214,23.8485
215,24.4697
216,25.3333
217,26.0379
218,26.5833
219,27.4167
220,27.6364
221,28.2576
222,28.4394
223,28.6742
224,28.8864
225,28.6894
226,28.5227
227,28.5152
228,28.0682
229,27.9394
230,27.1061
231,26.6667
232,25.9621
233,25.2121
234,24.3106
235,23.6894
236,22.9773
237,22.0606
238,21.5000
239,20.8561
240,20.1894
241,19.9470
242,19.2727
243,18.7652
244,18.4394
245,18.0530
246,17.7576
247,17.5379
248,17.4091
249,17.4015
250,17.4394
