Distance_(pixels),Gray_Value
0,5.8944
1,6.0333
2,5.9556
3,6.0889
4,6.0833
5,6.1889
6,6.2056
7,6.4667
8,6.4944
9,6.6333
10,6.6833
11,6.8500
12,6.9000
13,7.1278
14,7.2111
15,7.2167
16,7.3722
17,7.6389
18,7.7667
19,7.9389
20,8.0722
21,8.2833
22,8.4611
23,8.7333
24,8.9944
25,9.1556
26,9.3778
27,9.7333
28,9.9389
29,10.2389
30,10.4611
31,10.7333
32,11.0944
33,11.4111
34,11.9778
35,12.3444
36,12.9111
37,13.1556
38,13.7000
39,14.2833
40,14.9778
41,15.5278
42,16.1389
43,16.7611
44,17.6167
45,18.2056
46,19.5500
47,20.2833
48,21.2444
49,22.5667
50,23.4833
51,24.7778
52,25.8167
53,27.3111
54,28.3500
55,29.8167
56,31.4056
57,32.8556
58,34.2722
59,35.8611
60,37.5389
61,38.7000
62,40.0389
63,41.5611
64,42.8667
65,44.0889
66,44.6111
67,45.9278
68,46.5889
69,47.3278
70,47.2389
71,47.1167
72,47.1111
73,46.7722
74,46.0556
75,45.1944
76,44.0833
77,42.9944
78,41.5111
79,39.8722
80,38.2000
81,36.8333
82,34.5500
83,32.9556
84,31.2167
85,29.3000
86,27.3611
87,25.8722
88,24.3778
89,22.8667
90,21.6000
91,20.4111
92,19.1944
93,18.3056
94,17.2778
95,16.4111
96,15.5667
97,14.8722
98,14.3556
99,13.8444
100,13.3056
101,12.6889
102,12.1056
103,11.5278
104,11.1722
105,10.7389
106,10.2722
107,10.0722
108,9.7222
109,9.4611
110,9.1444
111,8.8111
112,8.5722
113,8.4889
114,8.2222
115,8.0722
116,7.8667
117,7.6500
118,7.5000
119,7.2722
120,7.1722
121,7.0611
122,6.9556
123,6.8444
124,6.7111
125,6.6389
126,6.3833
127,6.2778
128,6.3500
129,6.1889
130,6.1111
131,6.0778
132,6.0389
133,5.9111
134,5.9778
135,5.8333
136,5.8278
137,5.7778
138,5.6667
139,5.7444
140,5.6000
141,5.6000
142,5.5722
143,5.5944
144,5.4889
145,5.3056
146,5.3500
147,5.3111
148,5.4444
149,5.3889
150,5.3444
151,5.3389
152,5.3389
153,5.2056
154,5.2333
155,5.2111
156,5.2667
157,5.3500
158,5.2389
159,5.2389
160,5.2667
161,5.2167
162,5.3167
163,5.2833
164,5.2833
165,5.2111
166,5.2444
167,5.3611
168,5.3222
169,5.3389
170,5.3944
171,5.3000
172,5.3389
173,5.4556
174,5.3944
175,5.4833
176,5.4444
177,5.5111
178,5.6722
179,5.7500
180,5.7222
181,5.6167
182,5.6611
183,5.6778
184,5.7944
185,5.7611
186,5.8389
187,6.0278
188,5.9722
189,6.0111
190,6.2222
191,6.1167
192,6.3000
193,6.4056
194,6.5167
195,6.5111
196,6.5278
197,6.6889
198,6.8333
199,6.9889
200,6.9389
201,7.2000
202,7.2722
203,7.3333
204,7.4556
205,7.6722
206,7.7389
207,7.9000
208,8.1167
209,8.2833
210,8.4667
211,8.7000
212,8.7444
213,8.9667
214,9.3111
215,9.5278
216,9.5889
217,9.9667
218,10.3167
219,10.6389
220,10.8444
221,11.3333
222,11.5389
223,11.9278
224,12.2333
225,12.6444
226,13.1944
227,13.7667
228,14.1611
229,14.6444
230,15.3222
231,15.9333
232,16.4056
233,17.2833
234,17.8667
235,18.7611
236,19.3333
237,20.4889
238,21.5167
239,22.1167
240,23.0556
241,24.5444
242,25.4389
243,26.9944
244,28.5389
245,30.1889
246,31.6500
247,33.4056
248,34.4278
249,36.3889
250,37.7611
251,39.6222
252,41.3167
253,43.4111
254,44.9611
255,46.4444
256,47.9500
257,50.0222
258,50.5278
259,51.5833
260,51.9833
261,52.6722
262,52.5611
263,53.1056
264,53.0833
265,53.1722
266,52.7667
267,52.4333
268,51.9111
269,51.3556
270,50.3778
271,48.9611
272,47.1056
273,45.2222
274,43.2389
275,40.9111
276,38.9111
277,37.1000
278,34.8944
279,32.9722
280,30.6500
281,29.0389
282,27.1333
283,25.4278
284,23.9333
285,22.6167
286,21.3278
287,20.4167
288,19.4056
289,18.3722
290,17.6722
291,16.8056
292,15.9278
293,15.4056
294,14.8389
295,14.2500
296,13.5722
297,13.1111
298,12.6000
299,12.1167
300,11.6389
301,11.2222
302,10.9611
303,10.6889
304,10.2778
305,10.0333
306,9.6778
307,9.5444
308,9.2778
309,9.0722
310,8.8389
311,8.6444
312,8.3167
313,8.1056
314,7.9611
315,7.9722
316,7.6778
317,7.5389
318,7.5833
319,7.4278
320,7.2333
321,7.2500
322,7.0278
323,6.9167
324,6.8500
325,6.7667
326,6.7056
327,6.5667
328,6.6556
329,6.3833
330,6.4111
331,6.3611
332,6.2556
333,6.2444
334,6.1667
335,6.1278
336,6.0556
337,6.1056
338,6.0667
339,5.8722
340,5.8278
341,5.9222
342,5.9056
343,5.7389
344,5.8333
345,5.7611
346,5.7556
347,5.8000
348,5.7167
349,5.6944
350,5.6278
351,5.7056
352,5.7611
353,5.6333
354,5.6056
355,5.5944
356,5.6333
357,5.6222
358,5.5611
359,5.6944
360,5.6500
361,5.6944
362,5.8056
363,5.6056
364,5.6389
365,5.6611
366,5.7056
367,5.7444
368,5.6889
369,5.8889
370,5.7889
371,5.9778
372,5.8500
373,5.9444
374,5.9944
375,5.9111
376,6.1111
377,6.1389
378,6.1667
379,6.2222
380,6.3111
381,6.3556
382,6.4056
383,6.5500
384,6.5333
385,6.4944
386,6.6944
387,6.7167
388,6.6889
389,6.9444
390,6.9722
391,7.1111
392,7.2167
393,7.1611
394,7.3222
395,7.5389
396,7.5778
397,7.8778
398,7.9833
399,8.0500
400,8.2833
401,8.3333
402,8.4444
403,8.7056
404,8.9667
405,8.9944
406,9.3444
407,9.5444
408,9.8444
409,10.0778
410,10.1944
411,10.5500
412,10.7833
413,11.1833
414,11.6056
415,11.8167
416,12.1278
417,12.6333
418,13.1500
419,13.6056
420,14.1889
421,14.3500
422,15.0556
423,15.4500
424,16.1889
425,16.8722
426,17.5889
427,18.4722
428,19.1389
429,20.0722
430,20.8667
431,22.0556
432,22.8889
433,24.0167
434,25.0722
435,26.3167
436,27.6889
437,29.2500
438,30.8222
439,32.4278
440,34.0833
441,35.7111
442,37.9278
443,39.7667
444,41.1500
445,43.5778
446,45.3944
447,47.9111
448,49.9333
449,51.3611
450,52.3056
451,53.2167
452,53.8278
453,54.8667
454,55.3222
455,55.6889
456,56.0111
457,56.2778
458,56.4611
459,56.5889
460,56.5000
461,56.3556
462,56.1111
463,55.6222
464,55.2500
465,54.4722
466,53.7111
467,52.7611
468,51.6056
469,50.1556
470,48.2778
471,45.8611
472,43.2111
473,40.8056
474,38.2500
475,36.1556
476,33.7778
477,31.9667
478,30.0722
479,28.3056
480,26.6778
481,25.2667
482,24.0167
483,22.7889
484,21.6944
485,20.7278
486,19.8333
487,18.8833
488,18.2667
489,17.3778
490,16.7389
491,16.1944
492,15.4500
493,14.8778
494,14.4389
495,13.8444
496,13.3444
497,12.8278
498,12.4944
499,12.2944
500,11.8278
501,11.2833
502,11.0889
503,10.9556
504,10.6944
505,10.4444
506,10.2333
507,10.1222
508,9.7722
509,9.6778
510,9.4500
511,9.2167
512,9.1278
513,8.9556
514,8.8389
515,8.7556
516,8.5056
517,8.5333
518,8.3056
519,8.2000
520,8.0944
521,8.0000
522,7.8278
523,7.7167
524,7.6278
525,7.5111
526,7.3778
527,7.5556
528,7.3944
529,7.3722
530,7.2111
531,7.1944
532,7.1444
533,6.9833
534,7.0889
535,6.9944
536,6.8611
537,6.9556
538,6.7944
539,6.8056
540,6.7722
541,6.6556
542,6.5944
543,6.6778
544,6.5778
545,6.5278
546,6.3944
547,6.5722
548,6.4444
549,6.5278
550,6.5389
551,6.4889
