Distance_(pixels),Gray_Value
0,1.8857
1,1.9238
2,1.9048
3,1.9762
4,1.9571
5,2.0381
6,2.0238
7,2.0333
8,2.0238
9,2.1048
10,2.1381
11,2.1238
12,2.1952
13,2.2571
14,2.2333
15,2.2667
16,2.1952
17,2.3143
18,2.3238
19,2.3905
20,2.4143
21,2.4381
22,2.5429
23,2.4381
24,2.6000
25,2.6048
26,2.7095
27,2.7143
28,2.8095
29,2.8667
30,2.8762
31,2.9714
32,3.0095
33,3.1143
34,3.1524
35,3.1810
36,3.2143
37,3.4286
38,3.3429
39,3.5286
40,3.5714
41,3.6905
42,3.7952
43,3.9333
44,3.8571
45,4.1190
46,4.1810
47,4.3571
48,4.3762
49,4.5429
50,4.6619
51,4.8048
52,4.9714
53,5.1048
54,5.2238
55,5.4952
56,5.6190
57,5.7667
58,5.9952
59,6.3000
60,6.5000
61,6.6667
62,7.0286
63,7.3095
64,7.6381
65,8.0190
66,8.2952
67,8.7238
68,9.0000
69,9.4048
70,9.7810
71,10.2476
72,10.5810
73,11.1048
74,11.5714
75,11.8095
76,12.3000
77,12.6619
78,12.8571
79,13.3238
80,13.6095
81,13.8714
82,14.1048
83,14.3190
84,14.2667
85,14.2429
86,14.2667
87,14.1619
88,13.9095
89,13.7476
90,13.3714
91,13.0762
92,12.6381
93,12.2905
94,11.8238
95,11.4667
96,10.8905
97,10.4238
98,9.8571
99,9.3000
100,8.8524
101,8.4762
102,8.0286
103,7.6571
104,7.1476
105,6.8571
106,6.6619
107,6.3190
108,6.0143
109,5.9095
110,5.6524
111,5.4429
112,5.3048
113,5.0571
114,4.9190
115,4.7857
116,4.7333
117,4.6476
118,4.3952
119,4.2476
120,4.0048
121,4.0333
122,3.9810
123,3.8619
124,3.7381
125,3.6857
126,3.6095
127,3.3857
128,3.5095
129,3.3286
130,3.2952
131,3.2238
132,3.1333
133,3.0524
134,2.9762
135,2.9476
136,2.9190
137,2.9190
138,2.7190
139,2.8429
140,2.7048
141,2.6238
142,2.6048
143,2.5714
144,2.5000
145,2.5048
146,2.5000
147,2.4619
148,2.3905
149,2.4143
150,2.3952
151,2.3667
152,2.2571
153,2.3286
154,2.2476
155,2.2571
156,2.2238
157,2.1619
158,2.2286
159,2.1286
160,2.1714
161,2.2190
162,2.1619
163,2.1952
164,2.0905
165,2.1048
166,2.0810
167,2.1333
168,2.1333
169,2.1286
170,2.0476
171,2.0810
172,2.0714
173,2.1286
174,2.1000
175,2.1476
176,2.0667
177,2.1429
178,2.0190
179,2.1048
180,2.0381
181,2.1619
182,2.1333
183,2.1143
184,2.1000
185,2.1048
186,2.1667
187,2.1857
188,2.1048
189,2.1667
190,2.2095
191,2.2238
192,2.1619
193,2.2810
194,2.2714
195,2.2714
196,2.2095
197,2.2714
198,2.2762
199,2.4000
200,2.3810
201,2.4381
202,2.4238
203,2.4190
204,2.4619
205,2.5286
206,2.5667
207,2.6857
208,2.6286
209,2.6714
210,2.6143
211,2.7667
212,2.6476
213,2.8286
214,2.9476
215,2.8762
216,2.9143
217,2.9381
218,3.1667
